updated;price
2022-11-19;152.772
2022-11-18;152.68
2022-11-17;152.723
2022-11-16;152.367
2022-11-15;152.548
2022-11-14;152.019
2022-11-13;152.019
2022-11-12;152.019
2022-11-11;154.941
2022-11-10;154.718
2022-11-09;153.902
2022-11-08;154.662
2022-11-07;157.069
2022-11-06;157.069
2022-11-05;157.069
2022-11-04;157.069
2022-11-03;155.848
2022-11-02;155.438
2022-11-01;155.85
2022-10-31;155.574
2022-10-30;155.574
2022-10-29;155.574
2022-10-28;154.673
2022-10-27;153.808
2022-10-26;152.983
2022-10-25;152.022
2022-10-24;151.847
2022-10-23;151.847
2022-10-22;151.847
2022-10-21;152.387
2022-10-20;152.456
2022-10-19;152.746
2022-10-18;152.831
2022-10-17;156.102
2022-10-16;156.102
2022-10-15;156.102
2022-10-14;157.193
2022-10-13;157.917
2022-10-12;157.626
2022-10-11;154.125
2022-10-10;151.393
2022-10-09;151.393
2022-10-08;151.393
2022-10-07;148.605
2022-10-06;146.424
2022-10-05;144.632
2022-10-04;141.712
2022-10-03;136.321
2022-10-02;136.321
2022-10-01;136.321
2022-09-30;141.436
2022-09-29;143.242
2022-09-28;141.954
2022-09-27;140.413
2022-09-26;139.574
2022-09-25;139.574
2022-09-24;139.574
2022-09-23;143.125
2022-09-22;145.646
2022-09-21;143.606
2022-09-20;143.835
2022-09-19;144.317
2022-09-18;144.317
2022-09-17;144.317
2022-09-16;145.124
2022-09-15;146.965
2022-09-14;148.143
2022-09-13;149.103
2022-09-12;149.19
2022-09-11;149.19
2022-09-10;149.19
2022-09-09;150.085
2022-09-08;151.102
2022-09-07;150.332
2022-09-06;150.475
2022-09-05;149.216
2022-09-04;149.216
2022-09-03;149.216
2022-09-02;148.829
2022-09-01;148.822
2022-08-31;149.141
2022-08-30;149.002
2022-08-29;148.442
2022-08-28;148.442
2022-08-27;148.442
2022-08-26;147.602
2022-08-25;148.189
2022-08-24;147.918
2022-08-23;147.344
2022-08-22;145.951
2022-08-21;145.951
2022-08-20;145.951
2022-08-19;147.754
2022-08-18;149.658
2022-08-17;151.259
2022-08-16;151.099
2022-08-15;150.032
2022-08-14;150.032
2022-08-13;150.032
2022-08-12;149.284
2022-08-11;148.983
2022-08-10;148.62
2022-08-09;148.34
2022-08-08;148.642
2022-08-07;148.642
2022-08-06;148.642
2022-08-05;148.437
2022-08-04;148.215
2022-08-03;147.823
2022-08-02;152.26
2022-08-01;150.377
