updated;price
2022-11-19;40.4748
2022-11-18;40.5092
2022-11-17;40.699
2022-11-16;40.3846
2022-11-15;40.3581
2022-11-14;39.8703
2022-11-13;39.8703
2022-11-12;39.8703
2022-11-11;39.3121
2022-11-10;39.6897
2022-11-09;39.4158
2022-11-08;39.3752
2022-11-07;39.5486
2022-11-06;39.5486
2022-11-05;39.5486
2022-11-04;39.5486
2022-11-03;39.5091
2022-11-02;39.4549
2022-11-01;39.5619
2022-10-31;39.8065
2022-10-30;39.8065
2022-10-29;39.8065
2022-10-28;39.9508
2022-10-27;39.3322
2022-10-26;38.7929
2022-10-25;38.814
2022-10-24;38.3392
2022-10-23;38.3392
2022-10-22;38.3392
2022-10-21;38.4632
2022-10-20;38.8759
2022-10-19;39.0088
2022-10-18;38.4786
2022-10-17;39.8954
2022-10-16;39.8954
2022-10-15;39.8954
2022-10-14;39.841
2022-10-13;39.9813
2022-10-12;39.8025
2022-10-11;39.475
2022-10-10;39.229
2022-10-09;39.229
2022-10-08;39.229
2022-10-07;39.3756
2022-10-06;38.5475
2022-10-05;38.0615
2022-10-04;37.4297
2022-10-03;35.9552
2022-10-02;35.9552
2022-10-01;35.9552
2022-09-30;37.1232
2022-09-29;37.3252
2022-09-28;37.82
2022-09-27;37.682
2022-09-26;38.4858
2022-09-25;38.4858
2022-09-24;38.4858
2022-09-23;39.8899
2022-09-22;40.581
2022-09-21;40.3306
2022-09-20;40.2753
2022-09-19;40.2332
2022-09-18;40.2332
2022-09-17;40.2332
2022-09-16;40.2628
2022-09-15;40.1928
2022-09-14;41.2905
2022-09-13;41.3706
2022-09-12;41.2886
2022-09-11;41.2886
2022-09-10;41.2886
2022-09-09;40.986
2022-09-08;41.0588
2022-09-07;41.381
2022-09-06;41.3229
2022-09-05;40.9921
2022-09-04;40.9921
2022-09-03;40.9921
2022-09-02;41.166
2022-09-01;41.5767
2022-08-31;41.6839
2022-08-30;41.3974
2022-08-29;41.8063
2022-08-28;41.8063
2022-08-27;41.8063
2022-08-26;41.57
2022-08-25;41.4282
2022-08-24;41.1907
2022-08-23;41.1741
2022-08-22;40.8839
2022-08-21;40.8839
2022-08-20;40.8839
2022-08-19;41.5322
2022-08-18;42.6745
2022-08-17;43.2307
2022-08-16;43.4717
2022-08-15;43.3725
2022-08-14;43.3725
2022-08-13;43.3725
2022-08-12;42.8907
2022-08-11;42.0519
2022-08-10;42.116
2022-08-09;41.8415
2022-08-08;42.0655
2022-08-07;42.0655
2022-08-06;42.0655
2022-08-05;41.9456
2022-08-04;41.7686
2022-08-03;41.8469
2022-08-02;43.4789
2022-08-01;42.96
2022-07-31;42.96
2022-07-30;42.96
2022-07-29;42.1181
2022-07-28;41.7925
2022-07-27;40.8336
2022-07-26;39.9217
2022-07-25;39.6347
2022-07-24;39.6347
2022-07-23;39.6347
2022-07-22;39.0265
2022-07-21;37.9117
2022-07-20;37.9799
2022-07-19;38.4732
