updated;price
2022-11-19;35.5142
2022-11-18;35.5232
2022-11-17;35.4991
2022-11-16;35.4774
2022-11-15;35.5284
2022-11-14;35.4223
2022-11-13;35.4223
2022-11-12;35.4223
2022-11-11;36.0255
2022-11-10;35.9183
2022-11-09;35.8691
2022-11-08;36.0216
2022-11-07;36.5268
2022-11-06;36.5268
2022-11-05;36.5268
2022-11-04;36.5268
2022-11-03;36.2456
2022-11-02;36.1338
2022-11-01;36.2488
2022-10-31;36.1966
2022-10-30;36.1966
2022-10-29;36.1966
2022-10-28;36.0935
2022-10-27;36.1339
2022-10-26;36.078
2022-10-25;35.9782
2022-10-24;35.9975
2022-10-23;35.9975
2022-10-22;35.9975
2022-10-21;36.1775
2022-10-20;36.2297
2022-10-19;36.296
2022-10-18;36.3314
2022-10-17;37.0916
2022-10-16;37.0916
2022-10-15;37.0916
2022-10-14;37.3481
2022-10-13;37.5035
2022-10-12;37.4612
2022-10-11;36.6545
2022-10-10;36.0279
2022-10-09;36.0279
2022-10-08;36.0279
2022-10-07;35.4432
2022-10-06;34.9437
2022-10-05;34.5831
2022-10-04;33.8626
2022-10-03;32.5286
2022-10-02;32.5286
2022-10-01;32.5286
2022-09-30;33.7724
2022-09-29;34.3815
2022-09-28;34.2209
2022-09-27;34.1171
2022-09-26;34.1768
2022-09-25;34.1768
2022-09-24;34.1768
2022-09-23;35.1952
2022-09-22;35.805
2022-09-21;35.3034
2022-09-20;35.3919
2022-09-19;35.3127
2022-09-18;35.3127
2022-09-17;35.3127
2022-09-16;35.0978
2022-09-15;35.1618
2022-09-14;35.3339
2022-09-13;35.5628
2022-09-12;35.5704
2022-09-11;35.5704
2022-09-10;35.5704
2022-09-09;35.7653
2022-09-08;35.9891
2022-09-07;35.7967
2022-09-06;35.8255
2022-09-05;35.5125
2022-09-04;35.5125
2022-09-03;35.5125
2022-09-02;35.4335
2022-09-01;35.4345
2022-08-31;35.5104
2022-08-30;35.508
2022-08-29;35.3485
2022-08-28;35.3485
2022-08-27;35.3485
2022-08-26;35.1588
2022-08-25;35.2926
2022-08-24;35.2331
2022-08-23;35.1423
2022-08-22;34.7836
2022-08-21;34.7836
2022-08-20;34.7836
2022-08-19;35.2688
2022-08-18;35.7384
2022-08-17;36.1322
2022-08-16;36.1028
2022-08-15;35.8231
2022-08-14;35.8231
2022-08-13;35.8231
2022-08-12;35.7531
2022-08-11;35.6536
2022-08-10;35.6106
2022-08-09;35.5723
2022-08-08;35.5115
2022-08-07;35.5115
2022-08-06;35.5115
2022-08-05;35.4459
2022-08-04;35.4338
2022-08-03;35.3879
2022-08-02;36.5004
2022-08-01;36.0648
2022-07-31;36.0648
2022-07-30;36.0648
2022-07-29;35.4136
2022-07-28;35.4234
2022-07-27;34.5062
2022-07-26;33.9895
2022-07-25;33.7598
2022-07-24;33.7598
2022-07-23;33.7598
2022-07-22;33.2225
2022-07-21;32.2642
2022-07-20;32.61
2022-07-19;33.2715
2022-07-18;34.019
2022-07-17;34.019
2022-07-16;34.019
2022-07-15;34.2687
2022-07-14;34.4307
2022-07-13;34.6201
2022-07-12;36.0615
2022-07-11;36.0391
2022-07-10;36.0391
2022-07-09;36.0391
2022-07-08;37.1428
2022-07-07;37.0065
2022-07-06;34.4187
2022-07-05;32.4034
2022-07-04;31.628
2022-07-03;31.628
2022-07-02;31.628
2022-07-01;30.8896
2022-06-30;30.0929
2022-06-29;31.1588
2022-06-28;31.3906
2022-06-27;31.3667
2022-06-26;31.3667
2022-06-25;31.3667
2022-06-24;31.3869
2022-06-23;31.3405
2022-06-22;32.1812
2022-06-21;33.0428
2022-06-20;33.3589
2022-06-19;33.3589
2022-06-18;33.3589
2022-06-17;33.4524
2022-06-16;33.3308
2022-06-15;33.5839
2022-06-14;33.9871
2022-06-13;33.9871
2022-06-12;33.9871
2022-06-11;33.9871
2022-06-10;34.3468
2022-06-09;35.4284
2022-06-08;35.8568
2022-06-07;35.9467
2022-06-06;36.4505
2022-06-05;36.4505
2022-06-04;36.4505
2022-06-03;36.2206
2022-06-02;36.1608
2022-06-01;36.2394
2022-05-31;37.1162
2022-05-30;39.0605
2022-05-29;39.0605
2022-05-28;39.0605
2022-05-27;36.4997
2022-05-26;33.1174
2022-05-25;33.5112
2022-05-24;34.2404
2022-05-23;34.6389
2022-05-22;34.6389
2022-05-21;34.6389
2022-05-20;36.7077
2022-05-19;37.3908
2022-05-18;37.3781
2022-05-17;37.3203
2022-05-16;37.5176
2022-05-15;37.5176
2022-05-14;37.5176
2022-05-13;38.7009
2022-05-12;40.4935
2022-05-11;39.6378
2022-05-10;39.6378
2022-05-09;39.6378
2022-05-08;39.6378
2022-05-07;39.6378
2022-05-06;38.9634
2022-05-05;40.8329
2022-05-04;41.7786
2022-05-03;41.7786
2022-05-02;41.7786
2022-05-01;41.7786
2022-04-30;41.7786
2022-04-29;42.5266
2022-04-28;42.8685
2022-04-27;42.7699
2022-04-26;43.1536
2022-04-25;43.2382
2022-04-24;43.2382
2022-04-23;43.2382
2022-04-22;44.1171
2022-04-21;45.3417
2022-04-20;46.4875
2022-04-19;46.737
2022-04-18;47.0845
2022-04-17;47.0845
2022-04-16;47.0845
2022-04-15;47.8165
2022-04-14;46.9689
2022-04-13;46.8396
2022-04-12;46.5645
2022-04-11;44.0295
2022-04-10;44.0295
2022-04-09;44.0295
2022-04-08;44.8557
2022-04-07;48.586
2022-04-06;49.0306
2022-04-05;49.1725
2022-04-04;49.2029
2022-04-03;49.2029
2022-04-02;49.2029
2022-04-01;49.1455
2022-03-31;49.5609
2022-03-30;50.8872
2022-03-29;55.268
2022-03-28;56.411
2022-03-27;56.411
