updated;price
2022-11-19;31.853
2022-11-18;32.1494
2022-11-17;32.1019
2022-11-16;31.82
2022-11-15;31.8321
2022-11-14;30.6468
2022-11-13;30.6468
2022-11-12;30.6468
2022-11-11;31.4359
2022-11-10;31.2078
2022-11-09;31.1554
2022-11-08;30.9089
2022-11-07;31.4567
2022-11-06;31.4567
2022-11-05;31.4567
2022-11-04;31.4567
2022-11-03;31.3368
2022-11-02;31.1372
2022-11-01;31.3523
2022-10-31;31.5787
2022-10-30;31.5787
2022-10-29;31.5787
2022-10-28;31.4451
2022-10-27;30.9709
2022-10-26;30.8918
2022-10-25;30.4278
2022-10-24;30.6977
2022-10-23;30.6977
2022-10-22;30.6977
2022-10-21;30.7478
2022-10-20;30.9718
2022-10-19;30.7241
2022-10-18;30.6853
2022-10-17;31.3976
2022-10-16;31.3976
2022-10-15;31.3976
2022-10-14;31.508
2022-10-13;31.6941
2022-10-12;31.5752
2022-10-11;31.2125
2022-10-10;30.8769
2022-10-09;30.8769
2022-10-08;30.8769
2022-10-07;30.5452
2022-10-06;30.0416
2022-10-05;29.3502
2022-10-04;28.6914
2022-10-03;27.4422
2022-10-02;27.4422
2022-10-01;27.4422
2022-09-30;28.0776
2022-09-29;28.8208
2022-09-28;28.6919
2022-09-27;28.9243
2022-09-26;29.427
2022-09-25;29.427
2022-09-24;29.427
2022-09-23;30.3038
2022-09-22;31.0776
2022-09-21;30.6547
2022-09-20;30.6205
2022-09-19;30.6691
2022-09-18;30.6691
2022-09-17;30.6691
2022-09-16;30.4762
2022-09-15;31.0972
2022-09-14;31.1877
2022-09-13;31.0624
2022-09-12;30.945
2022-09-11;30.945
2022-09-10;30.945
2022-09-09;30.7293
2022-09-08;31.0313
2022-09-07;30.8655
2022-09-06;31.1176
2022-09-05;30.8789
2022-09-04;30.8789
2022-09-03;30.8789
2022-09-02;30.7992
2022-09-01;30.9043
2022-08-31;30.8219
2022-08-30;30.8844
2022-08-29;30.6328
2022-08-28;30.6328
2022-08-27;30.6328
2022-08-26;30.3585
2022-08-25;30.4524
2022-08-24;30.6281
2022-08-23;30.7109
2022-08-22;30.7723
2022-08-21;30.7723
2022-08-20;30.7723
2022-08-19;31.1578
2022-08-18;31.4712
2022-08-17;32.0187
2022-08-16;32.2753
2022-08-15;32.1895
2022-08-14;32.1895
2022-08-13;32.1895
2022-08-12;31.7763
2022-08-11;31.6332
2022-08-10;31.4864
2022-08-09;31.5578
2022-08-08;31.4245
2022-08-07;31.4245
2022-08-06;31.4245
2022-08-05;31.4073
2022-08-04;31.4884
2022-08-03;31.4757
2022-08-02;32.3534
2022-08-01;31.7291
2022-07-31;31.7291
2022-07-30;31.7291
2022-07-29;31.2484
2022-07-28;31.1713
2022-07-27;30.7011
2022-07-26;30.1043
2022-07-25;29.9274
2022-07-24;29.9274
2022-07-23;29.9274
2022-07-22;29.4511
2022-07-21;28.7303
2022-07-20;28.7164
2022-07-19;29.0895
2022-07-18;29.5833
2022-07-17;29.5833
2022-07-16;29.5833
2022-07-15;29.986
2022-07-14;30.052
2022-07-13;30.3857
2022-07-12;31.8548
2022-07-11;31.888
2022-07-10;31.888
2022-07-09;31.888
2022-07-08;32.856
2022-07-07;33.0989
2022-07-06;31.278
2022-07-05;29.3619
2022-07-04;28.5542
2022-07-03;28.5542
2022-07-02;28.5542
2022-07-01;28.237
2022-06-30;27.6246
2022-06-29;28.6324
2022-06-28;28.7135
2022-06-27;28.6085
2022-06-26;28.6085
2022-06-25;28.6085
2022-06-24;28.7024
2022-06-23;28.7388
2022-06-22;29.4177
2022-06-21;30.1162
2022-06-20;30.1553
2022-06-19;30.1553
2022-06-18;30.1553
2022-06-17;30.3302
2022-06-16;30.2797
2022-06-15;30.5194
2022-06-14;31.7357
2022-06-13;31.7357
2022-06-12;31.7357
2022-06-11;31.7357
2022-06-10;32.061
2022-06-09;32.8326
2022-06-08;33.4283
2022-06-07;33.525
2022-06-06;33.8741
2022-06-05;33.8741
2022-06-04;33.8741
2022-06-03;33.7249
2022-06-02;33.6711
2022-06-01;33.9058
2022-05-31;34.591
2022-05-30;36.3175
2022-05-29;36.3175
2022-05-28;36.3175
2022-05-27;33.8071
2022-05-26;30.6827
2022-05-25;31.0475
2022-05-24;31.4795
2022-05-23;31.6882
2022-05-22;31.6882
2022-05-21;31.6882
2022-05-20;33.5753
2022-05-19;34.2572
2022-05-18;33.8606
2022-05-17;33.6879
2022-05-16;33.9399
2022-05-15;33.9399
2022-05-14;33.9399
2022-05-13;35.4997
2022-05-12;37.146
2022-05-11;36.4102
2022-05-10;36.4102
2022-05-09;36.4102
2022-05-08;36.4102
2022-05-07;36.4102
2022-05-06;35.6654
2022-05-05;37.4655
2022-05-04;38.0742
2022-05-03;38.0742
2022-05-02;38.0742
2022-05-01;38.0742
2022-04-30;38.0742
2022-04-29;39.1187
2022-04-28;39.7732
2022-04-27;40.4725
2022-04-26;40.8356
2022-04-25;40.9157
2022-04-24;40.9157
2022-04-23;40.9157
2022-04-22;41.53
2022-04-21;42.5767
2022-04-20;43.9537
2022-04-19;44.1896
2022-04-18;44.5182
2022-04-17;44.5182
2022-04-16;44.5182
2022-04-15;44.995
2022-04-14;44.3398
2022-04-13;44.378
2022-04-12;43.958
2022-04-11;41.776
2022-04-10;41.776
2022-04-09;41.776
2022-04-08;42.5861
2022-04-07;46.3217
2022-04-06;46.9007
2022-04-05;47.2358
2022-04-04;47.1294
2022-04-03;47.1294
2022-04-02;47.1294
2022-04-01;47.3085
2022-03-31;47.8626
2022-03-30;49.0447
2022-03-29;52.4912
2022-03-28;53.8363
2022-03-27;53.8363
2022-03-26;53.8363
2022-03-25;53.9371
2022-03-24;57.9138
2022-03-23;58.6697
2022-03-22;59.0889
2022-03-21;58.5252
2022-03-20;58.5252
2022-03-19;58.5252
2022-03-18;59.2566
2022-03-17;60.7307
2022-03-16;62.6587
2022-03-15;65.0863
2022-03-14;65.9651
2022-03-13;65.9651
2022-03-12;65.9651
2022-03-11;68.0143
2022-03-10;64.6459
2022-03-09;59.1362
2022-03-08;59.1362
2022-03-07;59.1362
2022-03-06;59.1362
2022-03-05;59.5891
2022-03-04;63.3935
2022-03-03;58.5742
2022-03-02;52.5944
2022-03-01;53.4592
2022-02-28;47.7475
2022-02-27;47.7475
2022-02-26;47.7475
2022-02-25;50.0137
2022-02-24;46.5552
2022-02-23;46.5552
2022-02-22;44.6502
2022-02-21;44.0527
2022-02-20;44.0527
2022-02-19;44.0527
2022-02-18;44.032
2022-02-17;43.6535
2022-02-16;44.1516
2022-02-15;44.3355
2022-02-14;43.6833
2022-02-13;43.6833
2022-02-12;43.6833
2022-02-11;43.6677
2022-02-10;43.6874
2022-02-09;43.8964
2022-02-08;44.2861
2022-02-07;44.5159
2022-02-06;44.5159
2022-02-05;44.5159
2022-02-04;44.2655
2022-02-03;44.1624
2022-02-02;44.3838
2022-02-01;44.2839
2022-01-31;44.2824
2022-01-30;44.2824
2022-01-29;44.2824
2022-01-28;45.2082
2022-01-27;45.5795
2022-01-26;45.4711
2022-01-25;44.7869
2022-01-24;44.4607
2022-01-23;44.4607
2022-01-22;44.4607
2022-01-21;44.4062
2022-01-20;44.5363
2022-01-19;44.5152
2022-01-18;44.4343
2022-01-17;44.4276
2022-01-16;44.4276
2022-01-15;44.4276
