updated;price
2022-11-19;11.047
2022-11-18;11.3512
2022-11-17;11.3843
2022-11-16;11.3774
2022-11-15;11.3856
2022-11-14;11.3488
2022-11-13;11.3488
2022-11-12;11.3488
2022-11-11;11.8629
2022-11-10;11.8013
2022-11-09;11.9838
2022-11-08;12.1605
2022-11-07;12.0581
2022-11-06;12.0581
2022-11-05;12.0581
2022-11-04;12.0581
2022-11-03;11.9653
2022-11-02;11.6856
2022-11-01;11.5286
2022-10-31;11.6102
2022-10-30;11.6102
2022-10-29;11.6102
2022-10-28;11.5239
2022-10-27;11.5709
2022-10-26;11.629
2022-10-25;11.7811
2022-10-24;11.7294
2022-10-23;11.7294
2022-10-22;11.7294
2022-10-21;11.647
2022-10-20;11.6883
2022-10-19;11.7062
2022-10-18;11.693
2022-10-17;11.8942
2022-10-16;11.8942
2022-10-15;11.8942
2022-10-14;12.1947
2022-10-13;12.2454
2022-10-12;12.2615
2022-10-11;11.9332
2022-10-10;11.777
2022-10-09;11.777
2022-10-08;11.777
2022-10-07;11.5559
2022-10-06;11.5555
2022-10-05;11.3062
2022-10-04;10.648
2022-10-03;10.257
2022-10-02;10.257
2022-10-01;10.257
2022-09-30;10.7132
2022-09-29;10.9239
2022-09-28;10.8648
2022-09-27;11.0994
2022-09-26;11.2437
2022-09-25;11.2437
2022-09-24;11.2437
2022-09-23;11.5753
2022-09-22;11.7729
2022-09-21;11.4613
2022-09-20;11.3781
2022-09-19;11.4985
2022-09-18;11.4985
2022-09-17;11.4985
2022-09-16;11.525
2022-09-15;11.5416
2022-09-14;11.7365
2022-09-13;11.7096
2022-09-12;11.5949
2022-09-11;11.5949
2022-09-10;11.5949
2022-09-09;11.6421
2022-09-08;11.715
2022-09-07;11.7745
2022-09-06;11.7404
2022-09-05;11.609
2022-09-04;11.609
2022-09-03;11.609
2022-09-02;11.6317
2022-09-01;11.9016
2022-08-31;11.9715
2022-08-30;11.8593
2022-08-29;11.7437
2022-08-28;11.7437
2022-08-27;11.7437
2022-08-26;11.7088
2022-08-25;11.758
2022-08-24;11.584
2022-08-23;11.4981
2022-08-22;11.4221
2022-08-21;11.4221
2022-08-20;11.4221
2022-08-19;11.5787
2022-08-18;11.8346
2022-08-17;12.0625
2022-08-16;12.0295
2022-08-15;11.9121
2022-08-14;11.9121
2022-08-13;11.9121
2022-08-12;12.006
2022-08-11;11.8026
2022-08-10;11.7831
2022-08-09;11.5633
2022-08-08;11.5196
2022-08-07;11.5196
2022-08-06;11.5196
2022-08-05;11.4032
2022-08-04;11.5119
2022-08-03;11.6581
2022-08-02;11.9602
2022-08-01;11.7574
2022-07-31;11.7574
2022-07-30;11.7574
2022-07-29;11.3439
2022-07-28;11.234
2022-07-27;10.8348
2022-07-26;10.5985
2022-07-25;10.4831
2022-07-24;10.4831
2022-07-23;10.4831
2022-07-22;10.404
2022-07-21;10.1759
2022-07-20;10.3288
2022-07-19;10.4722
2022-07-18;10.5988
2022-07-17;10.5988
2022-07-16;10.5988
2022-07-15;10.7903
2022-07-14;10.8159
2022-07-13;11.0061
2022-07-12;11.5488
2022-07-11;11.4224
2022-07-10;11.4224
2022-07-09;11.4224
2022-07-08;11.6246
2022-07-07;11.6727
2022-07-06;11.0327
2022-07-05;10.3664
2022-07-04;10.2655
2022-07-03;10.2655
2022-07-02;10.2655
2022-07-01;10.0473
2022-06-30;9.80489
2022-06-29;10.1454
2022-06-28;10.1974
2022-06-27;10.2881
2022-06-26;10.2881
2022-06-25;10.2881
2022-06-24;10.3595
2022-06-23;10.3536
2022-06-22;10.5945
2022-06-21;10.9477
2022-06-20;11.0944
2022-06-19;11.0944
2022-06-18;11.0944
2022-06-17;11.1255
2022-06-16;11.0669
2022-06-15;11.188
2022-06-14;11.804
2022-06-13;11.804
2022-06-12;11.804
2022-06-11;11.804
2022-06-10;11.9877
2022-06-09;12.3151
2022-06-08;12.7428
2022-06-07;12.7436
2022-06-06;12.943
2022-06-05;12.943
2022-06-04;12.943
2022-06-03;12.892
2022-06-02;13.0003
2022-06-01;13.0487
2022-05-31;13.303
2022-05-30;13.8443
2022-05-29;13.8443
2022-05-28;13.8443
2022-05-27;12.8318
2022-05-26;11.704
2022-05-25;11.876
2022-05-24;11.9344
2022-05-23;11.97
2022-05-22;11.97
2022-05-21;11.97
2022-05-20;12.5841
2022-05-19;12.7965
2022-05-18;12.5422
2022-05-17;12.4226
2022-05-16;12.3895
2022-05-15;12.3895
2022-05-14;12.3895
2022-05-13;12.8396
2022-05-12;13.3962
2022-05-11;13.4639
2022-05-10;13.4639
2022-05-09;13.4639
2022-05-08;13.4639
2022-05-07;13.4639
2022-05-06;13.2238
2022-05-05;13.8378
2022-05-04;14.1744
2022-05-03;14.1744
2022-05-02;14.1744
2022-05-01;14.1744
2022-04-30;14.1744
2022-04-29;14.4118
2022-04-28;14.6742
2022-04-27;14.8948
2022-04-26;15.5022
2022-04-25;15.8436
2022-04-24;15.8436
2022-04-23;15.8436
2022-04-22;16.1657
2022-04-21;16.5193
2022-04-20;16.9071
2022-04-19;16.8493
2022-04-18;16.9746
2022-04-17;16.9746
2022-04-16;16.9746
2022-04-15;17.3663
2022-04-14;17.1788
2022-04-13;16.9341
2022-04-12;16.6617
2022-04-11;15.7848
2022-04-10;15.7848
2022-04-09;15.7848
2022-04-08;16.2368
2022-04-07;17.8021
2022-04-06;18.0537
2022-04-05;17.7941
2022-04-04;17.7179
2022-04-03;17.7179
2022-04-02;17.7179
2022-04-01;17.5555
2022-03-31;17.7085
2022-03-30;18.1148
2022-03-29;19.5536
2022-03-28;19.9624
2022-03-27;19.9624
2022-03-26;19.9624
2022-03-25;19.8947
2022-03-24;21.0204
2022-03-23;21.1701
2022-03-22;21.0369
2022-03-21;20.5075
2022-03-20;20.5075
2022-03-19;20.5075
2022-03-18;20.5654
2022-03-17;21.01
2022-03-16;21.6618
2022-03-15;22.6983
2022-03-14;23.2629
2022-03-13;23.2629
2022-03-12;23.2629
2022-03-11;24.0195
2022-03-10;22.8078
2022-03-09;20.9012
2022-03-08;20.9012
2022-03-07;20.9012
2022-03-06;20.9012
2022-03-05;21.0258
2022-03-04;21.913
2022-03-03;20.0075
2022-03-02;17.7795
2022-03-01;18.1182
2022-02-28;16.3066
2022-02-27;16.3066
2022-02-26;16.3066
2022-02-25;17.3504
2022-02-24;15.7565
2022-02-23;15.7565
2022-02-22;14.9428
2022-02-21;14.6476
2022-02-20;14.6476
2022-02-19;14.6476
2022-02-18;14.7465
2022-02-17;14.539
2022-02-16;14.6041
2022-02-15;14.5771
2022-02-14;14.2829
2022-02-13;14.2829
2022-02-12;14.2829
2022-02-11;14.2715
2022-02-10;14.2214
2022-02-09;14.3052
2022-02-08;14.2097
