updated;price
2022-11-19;25.0754
2022-11-18;25.0225
2022-11-17;24.9724
2022-11-16;24.951
2022-11-15;24.9157
2022-11-14;24.8137
2022-11-13;24.8137
2022-11-12;24.8137
2022-11-11;24.917
2022-11-10;24.8458
2022-11-09;24.7483
2022-11-08;24.5585
2022-11-07;24.89
2022-11-06;24.89
2022-11-05;24.89
2022-11-04;24.89
2022-11-03;24.902
2022-11-02;24.8242
2022-11-01;24.8851
2022-10-31;24.8804
2022-10-30;24.8804
2022-10-29;24.8804
2022-10-28;24.7955
2022-10-27;24.8042
2022-10-26;24.7628
2022-10-25;24.6426
2022-10-24;24.5875
2022-10-23;24.5875
2022-10-22;24.5875
2022-10-21;24.6086
2022-10-20;24.5674
2022-10-19;24.5546
2022-10-18;24.4986
2022-10-17;24.5315
2022-10-16;24.5315
2022-10-15;24.5315
2022-10-14;24.7011
2022-10-13;24.6829
2022-10-12;24.6446
2022-10-11;24.4363
2022-10-10;24.4286
2022-10-09;24.4286
2022-10-08;24.4286
2022-10-07;24.0321
2022-10-06;23.9167
2022-10-05;23.649
2022-10-04;23.4955
2022-10-03;22.2952
2022-10-02;22.2952
2022-10-01;22.2952
2022-09-30;23.1476
2022-09-29;23.3757
2022-09-28;23.3674
2022-09-27;23.2517
2022-09-26;22.8275
2022-09-25;22.8275
2022-09-24;22.8275
2022-09-23;23.5077
2022-09-22;23.8233
2022-09-21;23.6964
2022-09-20;23.7052
2022-09-19;23.7082
2022-09-18;23.7082
2022-09-17;23.7082
2022-09-16;23.564
2022-09-15;23.5474
2022-09-14;23.5837
2022-09-13;23.6631
2022-09-12;23.4979
2022-09-11;23.4979
2022-09-10;23.4979
2022-09-09;23.6267
2022-09-08;23.6963
2022-09-07;23.6511
2022-09-06;23.66
2022-09-05;23.6592
2022-09-04;23.6592
2022-09-03;23.6592
2022-09-02;23.6066
2022-09-01;23.5804
2022-08-31;23.6116
2022-08-30;23.5924
2022-08-29;23.5888
2022-08-28;23.5888
2022-08-27;23.5888
2022-08-26;23.4622
2022-08-25;23.4466
2022-08-24;23.4144
2022-08-23;23.3943
2022-08-22;23.0041
2022-08-21;23.0041
2022-08-20;23.0041
