updated;price
2022-11-19;45.224
2022-11-18;45.368
2022-11-17;45.4089
2022-11-16;45.388
2022-11-15;45.1474
2022-11-14;45.0126
2022-11-13;45.0126
2022-11-12;45.0126
2022-11-11;45.4328
2022-11-10;45.429
2022-11-09;45.1919
2022-11-08;45.3035
2022-11-07;45.558
2022-11-06;45.558
2022-11-05;45.558
2022-11-04;45.558
2022-11-03;45.2604
2022-11-02;45.0051
2022-11-01;45.261
2022-10-31;45.4228
2022-10-30;45.4228
2022-10-29;45.4228
2022-10-28;45.2332
2022-10-27;45.0416
2022-10-26;44.6965
2022-10-25;44.6021
2022-10-24;44.5741
2022-10-23;44.5741
2022-10-22;44.5741
2022-10-21;44.6344
2022-10-20;44.7736
2022-10-19;44.9404
2022-10-18;44.5752
2022-10-17;45.6728
2022-10-16;45.6728
2022-10-15;45.6728
2022-10-14;46.0018
2022-10-13;46.2838
2022-10-12;46.444
2022-10-11;45.4438
2022-10-10;44.6443
2022-10-09;44.6443
2022-10-08;44.6443
2022-10-07;44.1708
2022-10-06;43.7633
2022-10-05;43.0327
2022-10-04;41.9978
2022-10-03;40.3434
2022-10-02;40.3434
2022-10-01;40.3434
2022-09-30;42.03
2022-09-29;42.5823
2022-09-28;42.4144
2022-09-27;42.7406
2022-09-26;43.1013
2022-09-25;43.1013
2022-09-24;43.1013
2022-09-23;44.6606
2022-09-22;45.6115
2022-09-21;45.1654
2022-09-20;45.2888
2022-09-19;45.4785
2022-09-18;45.4785
2022-09-17;45.4785
2022-09-16;45.3185
2022-09-15;45.595
2022-09-14;46.277
2022-09-13;46.3804
2022-09-12;46.1037
2022-09-11;46.1037
2022-09-10;46.1037
2022-09-09;46.1873
2022-09-08;46.5647
2022-09-07;46.3794
2022-09-06;46.4167
2022-09-05;45.8539
2022-09-04;45.8539
2022-09-03;45.8539
2022-09-02;45.9439
2022-09-01;46.0681
2022-08-31;46.4046
2022-08-30;46.4729
2022-08-29;46.45
2022-08-28;46.45
2022-08-27;46.45
2022-08-26;46.037
2022-08-25;46.2515
2022-08-24;45.9504
2022-08-23;45.9871
2022-08-22;45.7396
2022-08-21;45.7396
2022-08-20;45.7396
2022-08-19;46.4351
2022-08-18;47.2178
2022-08-17;47.5865
2022-08-16;48.0128
2022-08-15;47.7529
2022-08-14;47.7529
2022-08-13;47.7529
2022-08-12;47.4024
2022-08-11;46.9365
2022-08-10;46.9638
2022-08-09;46.634
2022-08-08;46.9656
2022-08-07;46.9656
2022-08-06;46.9656
2022-08-05;46.8824
2022-08-04;46.8555
2022-08-03;46.9117
2022-08-02;48.3863
2022-08-01;47.7679
2022-07-31;47.7679
2022-07-30;47.7679
2022-07-29;46.7706
2022-07-28;46.7436
2022-07-27;45.6431
2022-07-26;44.8758
2022-07-25;44.5069
2022-07-24;44.5069
2022-07-23;44.5069
2022-07-22;43.836
2022-07-21;42.5055
2022-07-20;42.8151
2022-07-19;43.3821
2022-07-18;44.0191
2022-07-17;44.0191
2022-07-16;44.0191
2022-07-15;44.8958
2022-07-14;44.9729
2022-07-13;45.2724
2022-07-12;47.2737
2022-07-11;47.1788
2022-07-10;47.1788
2022-07-09;47.1788
2022-07-08;48.3963
2022-07-07;48.252
2022-07-06;45.4743
2022-07-05;42.7486
2022-07-04;41.7256
2022-07-03;41.7256
2022-07-02;41.7256
2022-07-01;40.7768
2022-06-30;39.7683
2022-06-29;41.1034
2022-06-28;41.262
2022-06-27;41.0749
2022-06-26;41.0749
2022-06-25;41.0749
2022-06-24;41.2284
2022-06-23;41.2088
2022-06-22;42.1026
2022-06-21;43.0937
2022-06-20;43.8661
2022-06-19;43.8661
2022-06-18;43.8661
2022-06-17;43.9211
2022-06-16;43.7886
2022-06-15;44.3989
2022-06-14;45.696
2022-06-13;45.696
2022-06-12;45.696
2022-06-11;45.696
2022-06-10;46.5626
2022-06-09;47.9715
2022-06-08;48.5168
2022-06-07;48.5805
2022-06-06;49.191
2022-06-05;49.191
2022-06-04;49.191
2022-06-03;48.7183
2022-06-02;48.6032
2022-06-01;48.655
2022-05-31;49.5349
2022-05-30;51.9097
2022-05-29;51.9097
2022-05-28;51.9097
2022-05-27;48.3364
2022-05-26;43.8949
2022-05-25;44.4064
2022-05-24;45.3727
2022-05-23;45.9725
2022-05-22;45.9725
2022-05-21;45.9725
2022-05-20;48.5968
2022-05-19;49.5281
2022-05-18;49.3038
2022-05-17;48.9805
2022-05-16;48.9147
2022-05-15;48.9147
2022-05-14;48.9147
2022-05-13;50.726
2022-05-12;52.9042
2022-05-11;52.5537
2022-05-10;52.5537
2022-05-09;52.5537
2022-05-08;52.5537
2022-05-07;52.5537
2022-05-06;51.7079
2022-05-05;54.0328
2022-05-04;55.3618
2022-05-03;55.3618
2022-05-02;55.3618
2022-05-01;55.3618
2022-04-30;55.3618
2022-04-29;56.3574
2022-04-28;56.948
2022-04-27;56.9908
2022-04-26;57.7556
2022-04-25;58.6679
2022-04-24;58.6679
2022-04-23;58.6679
2022-04-22;59.9896
2022-04-21;61.059
2022-04-20;62.6317
2022-04-19;63.0529
2022-04-18;63.5217
2022-04-17;63.5217
2022-04-16;63.5217
2022-04-15;64.4785
2022-04-14;63.2853
2022-04-13;63.0912
2022-04-12;62.88
2022-04-11;59.4804
2022-04-10;59.4804
2022-04-09;59.4804
2022-04-08;60.9599
2022-04-07;66.337
2022-04-06;66.735
2022-04-05;66.8104
2022-04-04;66.7214
2022-04-03;66.7214
2022-04-02;66.7214
2022-04-01;66.5999
