updated;price
2022-11-19;63.4782
2022-11-18;63.7355
2022-11-17;64.1527
2022-11-16;64.1818
2022-11-15;63.8661
2022-11-14;62.7728
2022-11-13;62.7728
2022-11-12;62.7728
2022-11-11;61.9998
2022-11-10;61.9218
2022-11-09;61.6556
2022-11-08;61.7368
2022-11-07;61.3349
2022-11-06;61.3349
2022-11-05;61.3349
2022-11-04;61.3349
2022-11-03;61.8277
2022-11-02;61.8543
2022-11-01;61.6722
2022-10-31;61.8311
2022-10-30;61.8311
2022-10-29;61.8311
2022-10-28;62.123
2022-10-27;62.2873
2022-10-26;61.1613
2022-10-25;61.1201
2022-10-24;60.5959
2022-10-23;60.5959
2022-10-22;60.5959
2022-10-21;61.1228
2022-10-20;61.6028
2022-10-19;61.9386
2022-10-18;61.5971
2022-10-17;63.0117
2022-10-16;63.0117
2022-10-15;63.0117
2022-10-14;63.5616
2022-10-13;64.0441
2022-10-12;63.684
2022-10-11;62.4688
2022-10-10;61.8474
2022-10-09;61.8474
2022-10-08;61.8474
2022-10-07;61.3266
2022-10-06;60.5363
2022-10-05;59.5174
2022-10-04;58.2715
2022-10-03;56.6469
2022-10-02;56.6469
2022-10-01;56.6469
2022-09-30;58.4178
2022-09-29;58.8309
2022-09-28;58.8703
2022-09-27;58.8583
2022-09-26;59.1897
2022-09-25;59.1897
2022-09-24;59.1897
2022-09-23;61.4731
2022-09-22;63.0958
2022-09-21;62.1217
2022-09-20;62.213
2022-09-19;62.2476
2022-09-18;62.2476
2022-09-17;62.2476
2022-09-16;62.1006
2022-09-15;62.2204
2022-09-14;63.1626
2022-09-13;63.0087
2022-09-12;63.2064
2022-09-11;63.2064
2022-09-10;63.2064
2022-09-09;62.3216
2022-09-08;62.2585
2022-09-07;62.0837
2022-09-06;61.9314
2022-09-05;61.6097
2022-09-04;61.6097
2022-09-03;61.6097
2022-09-02;61.7246
2022-09-01;61.6504
2022-08-31;62.2476
2022-08-30;62.2755
2022-08-29;62.2848
2022-08-28;62.2848
2022-08-27;62.2848
2022-08-26;62.1115
2022-08-25;62.3414
2022-08-24;61.9724
