updated;price
2022-11-19;84.7201
2022-11-18;84.4679
2022-11-17;85.0026
2022-11-16;85.3691
2022-11-15;85.4248
2022-11-14;84.4637
2022-11-13;84.4637
2022-11-12;84.4637
2022-11-11;84.0456
2022-11-10;83.9724
2022-11-09;83.6997
2022-11-08;84.3154
2022-11-07;84.3037
2022-11-06;84.3037
2022-11-05;84.3037
2022-11-04;84.3037
2022-11-03;84.2847
2022-11-02;84.0548
2022-11-01;83.9469
2022-10-31;84.3159
2022-10-30;84.3159
2022-10-29;84.3159
2022-10-28;84.3967
2022-10-27;84.7845
2022-10-26;83.2416
2022-10-25;83.2169
2022-10-24;83.732
2022-10-23;83.732
2022-10-22;83.732
2022-10-21;84.5185
2022-10-20;84.5711
2022-10-19;85.0975
2022-10-18;85.2304
2022-10-17;86.9152
2022-10-16;86.9152
2022-10-15;86.9152
2022-10-14;87.0486
2022-10-13;86.698
2022-10-12;87.5241
2022-10-11;86.1548
2022-10-10;85.9359
2022-10-09;85.9359
2022-10-08;85.9359
2022-10-07;85.9078
2022-10-06;83.637
2022-10-05;81.823
2022-10-04;81.3315
2022-10-03;81.5532
2022-10-02;81.5532
2022-10-01;81.5532
2022-09-30;79.8495
2022-09-29;80.72
2022-09-28;81.0556
2022-09-27;80.9047
2022-09-26;81.5329
2022-09-25;81.5329
2022-09-24;81.5329
2022-09-23;84.3825
2022-09-22;86.0242
2022-09-21;85.4169
2022-09-20;85.5472
2022-09-19;85.4611
2022-09-18;85.4611
2022-09-17;85.4611
2022-09-16;85.4232
2022-09-15;85.6771
2022-09-14;86.6164
2022-09-13;87.2525
2022-09-12;87.3512
2022-09-11;87.3512
2022-09-10;87.3512
2022-09-09;87.3741
2022-09-08;87.565
2022-09-07;87.4706
2022-09-06;87.8418
2022-09-05;87.4365
2022-09-04;87.4365
2022-09-03;87.4365
2022-09-02;87.2835
2022-09-01;87.2611
2022-08-31;87.383
2022-08-30;87.2167
2022-08-29;87.4478
2022-08-28;87.4478
2022-08-27;87.4478
2022-08-26;87.1936
2022-08-25;87.3526
2022-08-24;87.1738
2022-08-23;87.1277
2022-08-22;86.583
2022-08-21;86.583
2022-08-20;86.583
2022-08-19;88.274
2022-08-18;89.5099
2022-08-17;90.1556
2022-08-16;90.4515
2022-08-15;90.3978
2022-08-14;90.3978
2022-08-13;90.3978
2022-08-12;90.0583
2022-08-11;89.5251
2022-08-10;89.5342
2022-08-09;89.613
2022-08-08;89.6876
2022-08-07;89.6876
2022-08-06;89.6876
2022-08-05;89.3362
2022-08-04;89.4465
2022-08-03;89.5175
2022-08-02;92.8229
2022-08-01;92.1636
2022-07-31;92.1636
2022-07-30;92.1636
2022-07-29;90.4549
2022-07-28;90.4128
2022-07-27;87.8717
2022-07-26;86.3099
2022-07-25;85.8282
2022-07-24;85.8282
2022-07-23;85.8282
2022-07-22;83.9854
2022-07-21;81.6011
2022-07-20;82.5787
2022-07-19;84.2641
2022-07-18;85.7233
2022-07-17;85.7233
2022-07-16;85.7233
2022-07-15;86.3954
2022-07-14;87.2451
2022-07-13;87.9476
2022-07-12;92.1024
2022-07-11;92.8268
2022-07-10;92.8268
2022-07-09;92.8268
2022-07-08;95.9366
2022-07-07;95.5793
2022-07-06;89.4609
2022-07-05;87.1399
2022-07-04;85.9418
2022-07-03;85.9418
2022-07-02;85.9418
2022-07-01;82.8897
2022-06-30;76.9846
2022-06-29;79.7616
2022-06-28;80.4837
2022-06-27;80.1826
2022-06-26;80.1826
2022-06-25;80.1826
2022-06-24;80.0483
2022-06-23;80.2259
2022-06-22;82.6992
2022-06-21;84.7402
2022-06-20;85.5776
2022-06-19;85.5776
2022-06-18;85.5776
2022-06-17;85.5449
2022-06-16;85.4161
2022-06-15;86.0514
2022-06-14;88.9792
2022-06-13;88.9792
2022-06-12;88.9792
2022-06-11;88.9792
2022-06-10;90.8111
2022-06-09;92.6609
2022-06-08;93.0036
2022-06-07;93.0979
2022-06-06;94.1664
2022-06-05;94.1664
2022-06-04;94.1664
2022-06-03;93.5701
2022-06-02;93.7092
2022-06-01;94.0696
2022-05-31;95.6025
2022-05-30;100.616
2022-05-29;100.616
2022-05-28;100.616
2022-05-27;94.7641
2022-05-26;85.902
2022-05-25;87.0648
2022-05-24;87.9854
2022-05-23;88.8032
2022-05-22;88.8032
2022-05-21;88.8032
2022-05-20;92.395
2022-05-19;94.5947
2022-05-18;94.4705
2022-05-17;93.6231
2022-05-16;93.6542
2022-05-15;93.6542
2022-05-14;93.6542
2022-05-13;96.905
2022-05-12;102.029
2022-05-11;100.352
2022-05-10;100.352
2022-05-09;100.352
2022-05-08;100.352
2022-05-07;100.352
2022-05-06;99.9646
2022-05-05;104.877
2022-05-04;108.518
2022-05-03;108.518
2022-05-02;108.518
2022-05-01;108.518
2022-04-30;108.518
2022-04-29;109.613
2022-04-28;111.223
2022-04-27;111.576
2022-04-26;112.289
2022-04-25;113.057
2022-04-24;113.057
2022-04-23;113.057
2022-04-22;116.35
2022-04-21;120.155
2022-04-20;123.602
2022-04-19;124.818
2022-04-18;125.63
2022-04-17;125.63
2022-04-16;125.63
2022-04-15;127.499
2022-04-14;125.374
2022-04-13;125.043
2022-04-12;124.234
2022-04-11;117.611
2022-04-10;117.611
2022-04-09;117.611
2022-04-08;119.862
2022-04-07;129.838
2022-04-06;130.993
2022-04-05;131.372
2022-04-04;131.111
2022-04-03;131.111
2022-04-02;131.111
2022-04-01;131.569
2022-03-31;132.388
2022-03-30;135.55
2022-03-29;147.104
2022-03-28;150.31
2022-03-27;150.31
2022-03-26;150.31
2022-03-25;150.771
2022-03-24;161.891
2022-03-23;163.582
2022-03-22;164.716
2022-03-21;163.332
2022-03-20;163.332
