updated;price
2022-11-19;25.8075
2022-11-18;25.8141
2022-11-17;25.8131
2022-11-16;25.6165
2022-11-15;25.6414
2022-11-14;24.6038
2022-11-13;24.6038
2022-11-12;24.6038
2022-11-11;25.2519
2022-11-10;25.0919
2022-11-09;25.076
2022-11-08;24.7551
2022-11-07;25.1043
2022-11-06;25.1043
2022-11-05;25.1043
2022-11-04;25.1043
2022-11-03;25.0325
2022-11-02;24.8725
2022-11-01;25.2098
2022-10-31;25.1736
2022-10-30;25.1736
2022-10-29;25.1736
2022-10-28;25.0762
2022-10-27;24.7523
2022-10-26;24.6781
2022-10-25;24.2652
2022-10-24;24.5009
2022-10-23;24.5009
2022-10-22;24.5009
2022-10-21;24.4803
2022-10-20;24.6234
2022-10-19;24.4602
2022-10-18;24.4143
2022-10-17;24.9914
2022-10-16;24.9914
2022-10-15;24.9914
2022-10-14;25.0926
2022-10-13;25.2649
2022-10-12;25.1845
2022-10-11;24.8972
2022-10-10;24.6687
2022-10-09;24.6687
2022-10-08;24.6687
2022-10-07;24.3409
2022-10-06;23.936
2022-10-05;23.4042
2022-10-04;22.861
2022-10-03;21.7369
2022-10-02;21.7369
2022-10-01;21.7369
2022-09-30;22.4577
2022-09-29;22.8627
2022-09-28;22.7836
2022-09-27;22.9481
2022-09-26;23.2924
2022-09-25;23.2924
2022-09-24;23.2924
2022-09-23;24.0578
2022-09-22;24.7493
2022-09-21;24.4763
2022-09-20;24.4518
2022-09-19;24.4608
2022-09-18;24.4608
2022-09-17;24.4608
2022-09-16;24.3119
2022-09-15;24.7772
2022-09-14;24.8419
2022-09-13;24.7571
2022-09-12;24.6613
2022-09-11;24.6613
2022-09-10;24.6613
2022-09-09;24.4014
2022-09-08;24.7387
2022-09-07;24.5074
2022-09-06;24.8463
2022-09-05;24.6615
2022-09-04;24.6615
2022-09-03;24.6615
2022-09-02;24.5585
2022-09-01;24.5892
2022-08-31;24.5138
2022-08-30;24.5231
2022-08-29;24.3043
2022-08-28;24.3043
2022-08-27;24.3043
2022-08-26;24.1144
2022-08-25;24.1623
2022-08-24;24.2997
2022-08-23;24.3894
2022-08-22;24.455
2022-08-21;24.455
2022-08-20;24.455
2022-08-19;24.8095
2022-08-18;25.0806
2022-08-17;25.6022
2022-08-16;25.8899
2022-08-15;25.8618
2022-08-14;25.8618
2022-08-13;25.8618
2022-08-12;25.4739
2022-08-11;25.2218
2022-08-10;25.1181
2022-08-09;25.1057
2022-08-08;24.9193
2022-08-07;24.9193
2022-08-06;24.9193
2022-08-05;24.9082
2022-08-04;24.9823
2022-08-03;24.9915
2022-08-02;25.7098
2022-08-01;25.2346
2022-07-31;25.2346
2022-07-30;25.2346
2022-07-29;24.865
2022-07-28;24.7686
2022-07-27;24.4806
2022-07-26;24.0108
2022-07-25;23.9501
2022-07-24;23.9501
2022-07-23;23.9501
2022-07-22;23.5209
2022-07-21;22.8824
2022-07-20;22.9145
2022-07-19;23.1677
2022-07-18;23.7027
2022-07-17;23.7027
2022-07-16;23.7027
2022-07-15;24.0294
2022-07-14;23.9141
2022-07-13;24.1691
2022-07-12;25.3073
2022-07-11;25.1669
2022-07-10;25.1669
2022-07-09;25.1669
2022-07-08;26.6785
2022-07-07;26.5806
2022-07-06;24.7219
2022-07-05;23.197
2022-07-04;22.5715
2022-07-03;22.5715
2022-07-02;22.5715
2022-07-01;22.3248
2022-06-30;21.8475
2022-06-29;22.6445
2022-06-28;22.7072
2022-06-27;22.6052
2022-06-26;22.6052
2022-06-25;22.6052
2022-06-24;22.7209
2022-06-23;22.7726
2022-06-22;23.2751
2022-06-21;23.803
2022-06-20;23.8368
2022-06-19;23.8368
2022-06-18;23.8368
2022-06-17;24.0065
2022-06-16;23.9193
2022-06-15;24.1417
2022-06-14;25.1373
2022-06-13;25.1373
2022-06-12;25.1373
2022-06-11;25.1373
2022-06-10;25.4487
2022-06-09;25.9582
2022-06-08;26.4534
2022-06-07;26.5358
2022-06-06;26.8309
2022-06-05;26.8309
2022-06-04;26.8309
2022-06-03;26.6535
2022-06-02;26.6464
2022-06-01;26.8346
2022-05-31;27.3825
2022-05-30;28.787
2022-05-29;28.787
2022-05-28;28.787
2022-05-27;26.8206
2022-05-26;24.4738
2022-05-25;24.6897
2022-05-24;24.9608
2022-05-23;25.0921
2022-05-22;25.0921
2022-05-21;25.0921
2022-05-20;26.6429
2022-05-19;27.1028
2022-05-18;26.8011
2022-05-17;26.6294
2022-05-16;26.6271
2022-05-15;26.6271
2022-05-14;26.6271
2022-05-13;27.3744
2022-05-12;29.0496
2022-05-11;28.9364
2022-05-10;28.9364
2022-05-09;28.9364
2022-05-08;28.9364
2022-05-07;28.9364
2022-05-06;28.3043
2022-05-05;29.7196
2022-05-04;30.3611
2022-05-03;30.3611
2022-05-02;30.3611
2022-05-01;30.3611
2022-04-30;30.3611
2022-04-29;31.1698
2022-04-28;31.846
2022-04-27;31.9951
2022-04-26;32.6267
2022-04-25;32.6907
2022-04-24;32.6907
2022-04-23;32.6907
2022-04-22;33.4907
2022-04-21;34.1883
2022-04-20;34.9483
2022-04-19;35.3895
2022-04-18;35.6526
2022-04-17;35.6526
2022-04-16;35.6526
2022-04-15;36.2069
2022-04-14;35.354
2022-04-13;35.3664
2022-04-12;35.3123
2022-04-11;33.1988
2022-04-10;33.1988
2022-04-09;33.1988
2022-04-08;33.9559
2022-04-07;36.9145
2022-04-06;37.5612
2022-04-05;37.8267
2022-04-04;37.7669
2022-04-03;37.7669
2022-04-02;37.7669
2022-04-01;37.8682
2022-03-31;38.284
2022-03-30;39.2073
2022-03-29;41.7294
2022-03-28;42.6757
2022-03-27;42.6757
2022-03-26;42.6757
2022-03-25;42.7024
2022-03-24;45.9969
2022-03-23;46.5048
2022-03-22;46.7676
2022-03-21;46.0894
2022-03-20;46.0894
2022-03-19;46.0894
2022-03-18;46.8777
2022-03-17;48.098
2022-03-16;49.2039
2022-03-15;50.11
2022-03-14;50.7866
2022-03-13;50.7866
2022-03-12;50.7866
2022-03-11;52.3642
2022-03-10;49.3117
2022-03-09;45.0428
2022-03-08;45.0428
2022-03-07;45.0428
2022-03-06;45.0428
2022-03-05;45.0879
2022-03-04;48.277
2022-03-03;44.9386
2022-03-02;41.0266
2022-03-01;41.8215
2022-02-28;37.4741
2022-02-27;37.4741
2022-02-26;37.4741
2022-02-25;39.2561
2022-02-24;37.2484
2022-02-23;37.2484
2022-02-22;35.9498
2022-02-21;35.3449
2022-02-20;35.3449
2022-02-19;35.3449
2022-02-18;35.311
