updated;price
2022-11-19;83.7552
2022-11-18;84.5281
2022-11-17;84.4045
2022-11-16;83.6697
2022-11-15;83.6992
2022-11-14;80.586
2022-11-13;80.586
2022-11-12;80.586
2022-11-11;82.6575
2022-11-10;82.0625
2022-11-09;81.9093
2022-11-08;81.233
2022-11-07;82.6595
2022-11-06;82.6595
2022-11-05;82.6595
2022-11-04;82.6595
2022-11-03;82.3378
2022-11-02;81.8052
2022-11-01;82.3957
2022-10-31;83.0277
2022-10-30;83.0277
2022-10-29;83.0277
2022-10-28;82.6828
2022-10-27;81.4302
2022-10-26;81.2245
2022-10-25;80.008
2022-10-24;80.7098
2022-10-23;80.7098
2022-10-22;80.7098
2022-10-21;80.8394
2022-10-20;81.4248
2022-10-19;80.793
2022-10-18;80.6901
2022-10-17;82.5575
2022-10-16;82.5575
2022-10-15;82.5575
2022-10-14;82.83
2022-10-13;83.3312
2022-10-12;83.0213
2022-10-11;82.0745
2022-10-10;81.1806
2022-10-09;81.1806
2022-10-08;81.1806
2022-10-07;80.31
2022-10-06;79.0014
2022-10-05;77.1914
2022-10-04;75.4603
2022-10-03;72.1746
2022-10-02;72.1746
2022-10-01;72.1746
2022-09-30;73.8431
2022-09-29;75.7979
2022-09-28;75.4606
2022-09-27;76.0732
2022-09-26;77.2224
2022-09-25;77.2224
2022-09-24;77.2224
2022-09-23;79.7013
2022-09-22;81.7334
2022-09-21;80.6155
2022-09-20;80.533
2022-09-19;80.6594
2022-09-18;80.6594
2022-09-17;80.6594
2022-09-16;80.1535
2022-09-15;81.7862
2022-09-14;82.0259
2022-09-13;81.6962
2022-09-12;81.3879
2022-09-11;81.3879
2022-09-10;81.3879
2022-09-09;80.8202
2022-09-08;81.6798
2022-09-07;81.1782
2022-09-06;81.8351
2022-09-05;81.2075
2022-09-04;81.2075
2022-09-03;81.2075
2022-09-02;80.9953
2022-09-01;81.2673
2022-08-31;81.049
2022-08-30;81.2136
2022-08-29;80.555
2022-08-28;80.555
2022-08-27;80.555
2022-08-26;79.8262
2022-08-25;80.0809
2022-08-24;80.5458
2022-08-23;80.7607
2022-08-22;80.9053
2022-08-21;80.9053
2022-08-20;80.9053
2022-08-19;81.9342
2022-08-18;82.766
2022-08-17;84.2011
2022-08-16;84.8502
2022-08-15;84.6258
2022-08-14;84.6258
2022-08-13;84.6258
2022-08-12;83.5394
2022-08-11;83.1488
2022-08-10;82.7675
2022-08-09;82.9422
2022-08-08;82.5827
2022-08-07;82.5827
2022-08-06;82.5827
2022-08-05;82.5328
2022-08-04;82.7425
2022-08-03;82.6798
2022-08-02;85.009
2022-08-01;83.3641
2022-07-31;83.3641
2022-07-30;83.3641
2022-07-29;82.0977
2022-07-28;81.8905
2022-07-27;80.6518
2022-07-26;79.094
2022-07-25;78.6263
2022-07-24;78.6263
2022-07-23;78.6263
2022-07-22;77.3686
2022-07-21;75.478
2022-07-20;75.4522
2022-07-19;76.4418
2022-07-18;77.7441
2022-07-17;77.7441
2022-07-16;77.7441
2022-07-15;78.8095
2022-07-14;78.994
2022-07-13;79.865
2022-07-12;83.715
2022-07-11;83.8244
2022-07-10;83.8244
2022-07-09;83.8244
2022-07-08;86.3679
2022-07-07;87.015
2022-07-06;82.2326
2022-07-05;77.1964
2022-07-04;75.0734
2022-07-03;75.0734
2022-07-02;75.0734
2022-07-01;74.2381
2022-06-30;72.6243
2022-06-29;75.2606
2022-06-28;75.486
2022-06-27;75.2167
2022-06-26;75.2167
2022-06-25;75.2167
2022-06-24;75.4675
2022-06-23;75.5567
2022-06-22;77.3478
2022-06-21;79.1879
2022-06-20;79.2871
2022-06-19;79.2871
2022-06-18;79.2871
2022-06-17;79.7402
2022-06-16;79.5988
2022-06-15;80.2324
2022-06-14;83.4388
2022-06-13;83.4388
2022-06-12;83.4388
2022-06-11;83.4388
2022-06-10;84.2963
2022-06-09;86.3165
2022-06-08;87.9261
2022-06-07;88.1466
2022-06-06;89.0622
2022-06-05;89.0622
2022-06-04;89.0622
2022-06-03;88.6635
2022-06-02;88.5234
2022-06-01;89.142
2022-05-31;90.3652
2022-05-30;95.099
2022-05-29;95.099
2022-05-28;95.099
2022-05-27;88.8643
2022-05-26;81.1081
2022-05-25;81.6034
2022-05-24;82.7251
2022-05-23;83.2773
2022-05-22;83.2773
2022-05-21;83.2773
2022-05-20;88.2397
2022-05-19;90.0408
2022-05-18;88.9893
2022-05-17;88.7385
2022-05-16;89.2076
2022-05-15;89.2076
2022-05-14;89.2076
2022-05-13;93.328
2022-05-12;97.6702
2022-05-11;95.7082
2022-05-10;95.7082
2022-05-09;95.7082
2022-05-08;95.7082
2022-05-07;95.7082
2022-05-06;93.7456
2022-05-05;98.4848
2022-05-04;100.063
2022-05-03;100.063
2022-05-02;100.063
2022-05-01;100.063
2022-04-30;100.063
2022-04-29;102.822
2022-04-28;104.563
2022-04-27;105.03
2022-04-26;106.657
2022-04-25;107.556
2022-04-24;107.556
2022-04-23;107.556
2022-04-22;109.164
2022-04-21;111.937
2022-04-20;115.031
2022-04-19;115.649
2022-04-18;116.509
2022-04-17;116.509
2022-04-16;116.509
2022-04-15;118.32
2022-04-14;116.594
2022-04-13;116.698
2022-04-12;115.602
2022-04-11;109.852
2022-04-10;109.852
2022-04-09;109.852
2022-04-08;111.986
2022-04-07;121.811
2022-04-06;123.316
2022-04-05;124.197
2022-04-04;123.858
2022-04-03;123.858
2022-04-02;123.858
2022-04-01;124.297
2022-03-31;125.963
2022-03-30;129.075
2022-03-29;138.032
2022-03-28;141.474
2022-03-27;141.474
2022-03-26;141.474
2022-03-25;141.767
2022-03-24;152.255
2022-03-23;154.28
2022-03-22;155.363
2022-03-21;153.694
2022-03-20;153.694
2022-03-19;153.694
2022-03-18;155.729
2022-03-17;159.578
2022-03-16;164.559
2022-03-15;170.95
2022-03-14;173.258
2022-03-13;173.258
2022-03-12;173.258
2022-03-11;178.64
2022-03-10;169.851
2022-03-09;155.508
2022-03-08;155.508
2022-03-07;155.508
2022-03-06;155.508
2022-03-05;156.664
2022-03-04;166.666
2022-03-03;154.024
2022-03-02;138.309
2022-03-01;140.504
2022-02-28;125.507
2022-02-27;125.507
2022-02-26;125.507
2022-02-25;131.467
2022-02-24;122.37
2022-02-23;122.37
2022-02-22;117.392
2022-02-21;115.819
2022-02-20;115.819
2022-02-19;115.819
2022-02-18;115.717
2022-02-17;114.732
2022-02-16;116.027
2022-02-15;116.535
2022-02-14;114.834
2022-02-13;114.834
2022-02-12;114.834
2022-02-11;114.764
2022-02-10;114.8
2022-02-09;115.32
2022-02-08;116.358
2022-02-07;117.025
2022-02-06;117.025
2022-02-05;117.025
2022-02-04;116.412
2022-02-03;116.081
2022-02-02;116.662
2022-02-01;116.386
2022-01-31;116.361
2022-01-30;116.361
2022-01-29;116.361
2022-01-28;118.767
2022-01-27;119.795
2022-01-26;119.484
2022-01-25;117.692
2022-01-24;116.842
2022-01-23;116.842
2022-01-22;116.842
2022-01-21;116.711
2022-01-20;117.042
2022-01-19;116.97
2022-01-18;116.779
2022-01-17;116.776
2022-01-16;116.776
2022-01-15;116.776
2022-01-14;114.992
2022-01-13;113.783
2022-01-12;114.159
2022-01-11;114.399
2022-01-10;112.956
2022-01-09;112.956
2022-01-08;112.956
2022-01-07;112.956
2022-01-06;112.956
2022-01-05;112.956
2022-01-04;112.956
2022-01-03;112.956
2022-01-02;112.956
2022-01-01;112.956
2021-12-31;112.956
2021-12-30;111.783
2021-12-29;111.939
2021-12-28;111.467
2021-12-27;111.57
2021-12-26;111.57
2021-12-25;111.57
2021-12-24;111.73
2021-12-23;111.866
2021-12-22;112.167
2021-12-21;112.452
2021-12-18;112.319
2021-12-17;111.827
2021-12-16;111.945
2021-12-15;111.429
2021-12-14;111.438
2021-12-11;111.741
2021-12-10;112.016
2021-12-09;112.063
2021-12-08;112.584
2021-12-07;111.844
2021-12-04;112.028
2021-12-03;112.687
2021-12-02;112.62
2021-12-01;114.173
2021-11-30;113.609
2021-11-27;114.554
2021-11-26;112.557
2021-11-25;112.415
2021-11-24;113.27
2021-11-23;111.334
2021-11-20;110.919
2021-11-17;110.968
2021-11-16;111.274
2021-11-13;110.522
2021-11-12;109.73
2021-11-11;109.961
2021-11-10;111.014
2021-11-09;110.909
2021-11-04;111.346
2021-11-03;111.493
2021-11-02;110.552
2021-10-30;110.561
2021-10-29;109.945
2021-10-28;108.844
2021-10-27;108.535
2021-10-26;109.877
2021-10-23;110.875
2021-10-22;111.014
2021-10-21;111.052
2021-10-20;111.126
2021-10-19;110.842
2021-10-16;111.19
