updated;price
2022-11-19;77.3234
2022-11-18;77.2935
2022-11-17;77.2806
2022-11-16;77.2137
2022-11-15;77.2059
2022-11-14;76.9656
2022-11-13;76.9656
2022-11-12;76.9656
2022-11-11;78.1664
2022-11-10;77.9238
2022-11-09;77.817
2022-11-08;78.1479
2022-11-07;79.2439
2022-11-06;79.2439
2022-11-05;79.2439
2022-11-04;79.2439
2022-11-03;78.6339
2022-11-02;78.3914
2022-11-01;78.6508
2022-10-31;78.5377
2022-10-30;78.5377
2022-10-29;78.5377
2022-10-28;78.3138
2022-10-27;78.3917
2022-10-26;78.2703
2022-10-25;78.0537
2022-10-24;78.0957
2022-10-23;78.0957
2022-10-22;78.0957
2022-10-21;78.4962
2022-10-20;78.5994
2022-10-19;78.7533
2022-10-18;78.8201
2022-10-17;80.4694
2022-10-16;80.4694
2022-10-15;80.4694
2022-10-14;81.036
2022-10-13;81.3628
2022-10-12;81.2711
2022-10-11;79.5209
2022-10-10;78.1617
2022-10-09;78.1617
2022-10-08;78.1617
2022-10-07;76.8931
2022-10-06;75.8095
2022-10-05;75.0272
2022-10-04;73.464
2022-10-03;70.5701
2022-10-02;70.5701
2022-10-01;70.5701
2022-09-30;73.2682
2022-09-29;74.5897
2022-09-28;74.2414
2022-09-27;74.0161
2022-09-26;74.1457
2022-09-25;74.1457
2022-09-24;74.1457
2022-09-23;76.355
2022-09-22;77.678
2022-09-21;76.5996
2022-09-20;76.7818
2022-09-19;76.61
2022-09-18;76.61
2022-09-17;76.61
2022-09-16;76.1633
2022-09-15;76.3021
2022-09-14;76.6755
2022-09-13;77.1625
2022-09-12;77.1788
2022-09-11;77.1788
2022-09-10;77.1788
2022-09-09;77.5919
2022-09-08;78.0773
2022-09-07;77.66
2022-09-06;77.7324
2022-09-05;77.0534
2022-09-04;77.0534
2022-09-03;77.0534
2022-09-02;76.8918
2022-09-01;76.884
2022-08-31;77.0488
2022-08-30;77.0534
2022-08-29;76.717
2022-08-28;76.717
2022-08-27;76.717
2022-08-26;76.3052
2022-08-25;76.5957
2022-08-24;76.4666
2022-08-23;76.2792
2022-08-22;75.5006
2022-08-21;75.5006
2022-08-20;75.5006
2022-08-19;76.5637
2022-08-18;77.6127
2022-08-17;78.4679
2022-08-16;78.4542
2022-08-15;77.8564
2022-08-14;77.8564
2022-08-13;77.8564
2022-08-12;77.4041
2022-08-11;77.169
2022-08-10;77.0564
2022-08-09;76.9735
2022-08-08;77.0413
2022-08-07;77.0413
2022-08-06;77.0413
2022-08-05;76.8989
2022-08-04;76.8726
2022-08-03;76.7732
2022-08-02;79.1866
2022-08-01;78.2416
2022-07-31;78.2416
2022-07-30;78.2416
2022-07-29;76.8289
2022-07-28;76.8502
2022-07-27;74.8698
2022-07-26;73.7487
2022-07-25;73.2411
2022-07-24;73.2411
2022-07-23;73.2411
2022-07-22;72.0754
2022-07-21;69.9963
2022-07-20;70.7466
2022-07-19;72.1817
2022-07-18;73.8033
2022-07-17;73.8033
2022-07-16;73.8033
2022-07-15;74.3451
2022-07-14;74.6965
2022-07-13;75.1073
2022-07-12;78.2344
2022-07-11;78.1958
2022-07-10;78.1958
2022-07-09;78.1958
2022-07-08;80.6008
2022-07-07;80.3153
2022-07-06;74.6991
2022-07-05;70.3343
2022-07-04;68.6424
2022-07-03;68.6424
2022-07-02;68.6424
2022-07-01;67.0484
2022-06-30;65.3109
2022-06-29;67.6154
2022-06-28;68.136
2022-06-27;68.0493
2022-06-26;68.0493
2022-06-25;68.0493
2022-06-24;68.1019
2022-06-23;67.9923
2022-06-22;69.8164
2022-06-21;71.6854
2022-06-20;72.3712
2022-06-19;72.3712
2022-06-18;72.3712
2022-06-17;72.5741
2022-06-16;72.3104
2022-06-15;72.8594
2022-06-14;73.7435
2022-06-13;73.7435
2022-06-12;73.7435
2022-06-11;73.7435
2022-06-10;74.5334
2022-06-09;76.8903
2022-06-08;77.84
2022-06-07;78.0253
2022-06-06;79.1391
2022-06-05;79.1391
2022-06-04;79.1391
2022-06-03;78.6097
2022-06-02;78.4799
2022-06-01;78.6505
2022-05-31;80.5329
2022-05-30;84.7408
2022-05-29;84.7408
2022-05-28;84.7408
2022-05-27;79.1852
2022-05-26;71.8474
2022-05-25;72.7109
2022-05-24;74.2837
2022-05-23;75.1675
2022-05-22;75.1675
2022-05-21;75.1675
2022-05-20;79.6568
2022-05-19;81.1287
2022-05-18;81.0909
2022-05-17;80.9654
2022-05-16;81.3934
2022-05-15;81.3934
2022-05-14;81.3934
2022-05-13;83.9607
2022-05-12;87.8495
2022-05-11;85.9932
2022-05-10;85.9932
2022-05-09;85.9932
2022-05-08;85.9932
2022-05-07;85.9932
2022-05-06;84.5409
2022-05-05;88.5973
2022-05-04;90.6724
2022-05-03;90.6724
2022-05-02;90.6724
2022-05-01;90.6724
2022-04-30;90.6724
2022-04-29;92.3076
2022-04-28;93.0377
2022-04-27;92.8357
2022-04-26;93.6565
2022-04-25;93.8641
2022-04-24;93.8641
2022-04-23;93.8641
2022-04-22;95.7719
2022-04-21;98.4556
2022-04-20;100.982
2022-04-19;101.485
2022-04-18;102.24
2022-04-17;102.24
2022-04-16;102.24
2022-04-15;103.856
2022-04-14;102.041
2022-04-13;101.799
2022-04-12;101.175
2022-04-11;95.6551
2022-04-10;95.6551
2022-04-09;95.6551
2022-04-08;97.4626
2022-04-07;105.568
2022-04-06;106.602
2022-04-05;106.883
2022-04-04;106.472
2022-04-03;106.472
2022-04-02;106.472
2022-04-01;106.529
2022-03-31;107.432
2022-03-30;110.252
2022-03-29;119.692
2022-03-28;122.214
2022-03-27;122.214
2022-03-26;122.214
2022-03-25;122.758
2022-03-24;131.855
2022-03-23;132.968
2022-03-22;133.75
2022-03-21;132.903
2022-03-20;132.903
2022-03-19;132.903
2022-03-18;134.06
2022-03-17;138.133
2022-03-16;142.438
2022-03-15;147.323
2022-03-14;149.312
2022-03-13;149.312
2022-03-12;149.312
2022-03-11;153.95
2022-03-10;148.566
