updated;price
2022-11-19;15.2691
2022-11-18;15.2068
2022-11-17;15.4454
2022-11-16;15.4598
2022-11-15;15.3361
2022-11-14;15.3207
2022-11-13;15.3207
2022-11-12;15.3207
2022-11-11;15.1788
2022-11-10;15.1441
2022-11-09;15.2086
2022-11-08;15.2201
2022-11-07;14.7892
2022-11-06;14.7892
2022-11-05;14.7892
2022-11-04;14.7892
2022-11-03;14.9477
2022-11-02;14.8211
2022-11-01;14.8682
2022-10-31;14.8469
2022-10-30;14.8469
2022-10-29;14.8469
2022-10-28;15.1399
2022-10-27;15.0186
2022-10-26;14.649
2022-10-25;14.5706
2022-10-24;14.4493
2022-10-23;14.4493
2022-10-22;14.4493
2022-10-21;14.586
2022-10-20;14.6424
2022-10-19;14.7035
2022-10-18;14.3476
2022-10-17;14.6515
2022-10-16;14.6515
2022-10-15;14.6515
2022-10-14;14.2444
2022-10-13;14.3941
2022-10-12;14.4487
2022-10-11;14.1484
2022-10-10;14.1668
2022-10-09;14.1668
2022-10-08;14.1668
2022-10-07;14.0687
2022-10-06;13.9903
2022-10-05;13.9059
2022-10-04;13.3673
2022-10-03;12.9031
2022-10-02;12.9031
2022-10-01;12.9031
2022-09-30;13.2066
2022-09-29;13.581
2022-09-28;13.7411
2022-09-27;13.8198
2022-09-26;13.947
2022-09-25;13.947
2022-09-24;13.947
2022-09-23;14.5541
2022-09-22;14.9506
2022-09-21;15.0589
2022-09-20;14.969
2022-09-19;14.7498
2022-09-18;14.7498
2022-09-17;14.7498
2022-09-16;14.6987
2022-09-15;14.8528
2022-09-14;15.3874
2022-09-13;15.5969
2022-09-12;15.4539
2022-09-11;15.4539
2022-09-10;15.4539
2022-09-09;15.2855
2022-09-08;15.0983
2022-09-07;15.0228
2022-09-06;14.9471
2022-09-05;15.0913
2022-09-04;15.0913
2022-09-03;15.0913
2022-09-02;15.0683
2022-09-01;14.8415
2022-08-31;14.859
2022-08-30;14.6046
2022-08-29;14.6764
2022-08-28;14.6764
2022-08-27;14.6764
2022-08-26;14.6473
2022-08-25;14.5107
2022-08-24;14.4799
2022-08-23;14.7416
2022-08-22;14.6635
2022-08-21;14.6635
