updated;price
2022-11-19;74.861
2022-11-18;73.878
2022-11-17;74.0653
2022-11-16;73.3618
2022-11-15;73.4671
2022-11-14;72.966
2022-11-13;72.966
2022-11-12;72.966
2022-11-11;73.8909
2022-11-10;73.7765
2022-11-09;73.722
2022-11-08;74.3223
2022-11-07;75.3688
2022-11-06;75.3688
2022-11-05;75.3688
2022-11-04;75.3688
2022-11-03;74.4509
2022-11-02;74.2213
2022-11-01;74.3682
2022-10-31;74.2613
2022-10-30;74.2613
2022-10-29;74.2613
2022-10-28;73.745
2022-10-27;74.5722
2022-10-26;74.5886
2022-10-25;74.2226
2022-10-24;74.2778
2022-10-23;74.2778
2022-10-22;74.2778
2022-10-21;74.6369
2022-10-20;74.8902
2022-10-19;74.8915
2022-10-18;74.953
2022-10-17;76.524
2022-10-16;76.524
2022-10-15;76.524
2022-10-14;77.709
2022-10-13;78.2985
2022-10-12;78.2102
2022-10-11;76.2311
2022-10-10;75.1022
2022-10-09;75.1022
2022-10-08;75.1022
2022-10-07;73.6025
2022-10-06;72.5323
2022-10-05;72.25
2022-10-04;70.5687
2022-10-03;68.3404
2022-10-02;68.3404
2022-10-01;68.3404
2022-09-30;71.1221
2022-09-29;73.1314
2022-09-28;73.0136
2022-09-27;72.803
2022-09-26;72.7914
2022-09-25;72.7914
2022-09-24;72.7914
2022-09-23;75.1816
2022-09-22;76.4836
2022-09-21;75.9079
2022-09-20;75.5121
2022-09-19;75.3827
2022-09-18;75.3827
2022-09-17;75.3827
2022-09-16;74.8907
2022-09-15;74.7918
2022-09-14;75.1885
2022-09-13;75.6716
2022-09-12;75.7871
2022-09-11;75.7871
2022-09-10;75.7871
2022-09-09;76.5785
2022-09-08;76.7459
2022-09-07;76.3357
2022-09-06;76.043
2022-09-05;75.5494
2022-09-04;75.5494
2022-09-03;75.5494
2022-09-02;75.4183
2022-09-01;75.4939
2022-08-31;75.5632
2022-08-30;75.577
2022-08-29;75.3483
2022-08-28;75.3483
2022-08-27;75.3483
2022-08-26;75.0249
2022-08-25;75.5316
2022-08-24;75.1512
2022-08-23;74.9574
2022-08-22;74.1923
2022-08-21;74.1923
2022-08-20;74.1923
2022-08-19;75.4289
2022-08-18;76.4185
2022-08-17;77.1876
2022-08-16;77.1247
2022-08-15;76.9749
2022-08-14;76.9749
2022-08-13;76.9749
2022-08-12;76.2143
2022-08-11;76.677
2022-08-10;76.8131
2022-08-09;76.1869
2022-08-08;76.0128
2022-08-07;76.0128
2022-08-06;76.0128
2022-08-05;75.5649
2022-08-04;75.3941
2022-08-03;75.3928
2022-08-02;77.7101
2022-08-01;76.7238
2022-07-31;76.7238
2022-07-30;76.7238
2022-07-29;75.2762
2022-07-28;75.2994
2022-07-27;73.3735
2022-07-26;72.3218
2022-07-25;71.8477
2022-07-24;71.8477
2022-07-23;71.8477
2022-07-22;70.7119
2022-07-21;68.8547
2022-07-20;69.6094
2022-07-19;71.2275
2022-07-18;72.9746
2022-07-17;72.9746
2022-07-16;72.9746
2022-07-15;73.7209
2022-07-14;73.7813
2022-07-13;74.4244
2022-07-12;77.6138
2022-07-11;77.4602
2022-07-10;77.4602
2022-07-09;77.4602
2022-07-08;79.9861
2022-07-07;79.6971
2022-07-06;74.3511
2022-07-05;70.3621
2022-07-04;68.6417
2022-07-03;68.6417
2022-07-02;68.6417
2022-07-01;67.0945
2022-06-30;65.4098
2022-06-29;67.8352
2022-06-28;68.419
2022-06-27;68.2867
2022-06-26;68.2867
2022-06-25;68.2867
2022-06-24;68.3317
2022-06-23;68.2401
2022-06-22;70.1372
2022-06-21;71.8845
2022-06-20;72.8547
2022-06-19;72.8547
2022-06-18;72.8547
2022-06-17;73.1087
2022-06-16;72.901
2022-06-15;73.4557
2022-06-14;74.4568
2022-06-13;74.4568
2022-06-12;74.4568
2022-06-11;74.4568
2022-06-10;75.2555
2022-06-09;77.6583
2022-06-08;78.4874
2022-06-07;78.8391
2022-06-06;79.7921
2022-06-05;79.7921
2022-06-04;79.7921
2022-06-03;79.3224
2022-06-02;79.3064
2022-06-01;79.3543
2022-05-31;81.3227
2022-05-30;85.5896
2022-05-29;85.5896
2022-05-28;85.5896
2022-05-27;79.8579
2022-05-26;72.5776
2022-05-25;73.3654
2022-05-24;75.2495
2022-05-23;76.1253
2022-05-22;76.1253
2022-05-21;76.1253
2022-05-20;80.43
2022-05-19;82.2689
2022-05-18;82.1458
2022-05-17;82.0036
2022-05-16;83.1041
2022-05-15;83.1041
2022-05-14;83.1041
2022-05-13;86.467
2022-05-12;90.0042
2022-05-11;88.1714
2022-05-10;88.1714
2022-05-09;88.1714
2022-05-08;88.1714
2022-05-07;88.1714
2022-05-06;86.4535
2022-05-05;90.5725
2022-05-04;93.0508
2022-05-03;93.0508
2022-05-02;93.0508
2022-05-01;93.0508
2022-04-30;93.0508
2022-04-29;94.8644
2022-04-28;95.3651
2022-04-27;95.3188
2022-04-26;96.0554
2022-04-25;96.4319
2022-04-24;96.4319
2022-04-23;96.4319
2022-04-22;98.3919
2022-04-21;101.123
2022-04-20;103.831
2022-04-19;104.595
2022-04-18;105.625
2022-04-17;105.625
2022-04-16;105.625
2022-04-15;107.236
2022-04-14;105.616
2022-04-13;105.621
2022-04-12;104.769
2022-04-11;98.7376
2022-04-10;98.7376
2022-04-09;98.7376
2022-04-08;100.59
2022-04-07;109.012
2022-04-06;109.713
2022-04-05;109.621
2022-04-04;110.084
2022-04-03;110.084
2022-04-02;110.084
2022-04-01;110.055
2022-03-31;110.773
2022-03-30;113.551
2022-03-29;123.039
2022-03-28;125.53
2022-03-27;125.53
2022-03-26;125.53
2022-03-25;125.76
2022-03-24;135.199
2022-03-23;136.605
2022-03-22;137.513
2022-03-21;137.131
2022-03-20;137.131
2022-03-19;137.131
2022-03-18;138.249
2022-03-17;141.68
2022-03-16;145.517
2022-03-15;150.926
2022-03-14;152.964
2022-03-13;152.964
2022-03-12;152.964
2022-03-11;157.716
2022-03-10;151.904
2022-03-09;138.453
2022-03-08;138.453
2022-03-07;138.453
2022-03-06;138.453
2022-03-05;138.989
2022-03-04;147.408
2022-03-03;136.331
2022-03-02;121.817
2022-03-01;123.927
2022-02-28;110.833
2022-02-27;110.833
2022-02-26;110.833
2022-02-25;115.478
2022-02-24;107.38
2022-02-23;107.38
2022-02-22;103.209
2022-02-21;101.344
2022-02-20;101.344
2022-02-19;101.344
2022-02-18;100.809
2022-02-17;100.005
2022-02-16;100.906
2022-02-15;101.298
2022-02-14;99.5839
2022-02-13;99.5839
2022-02-12;99.5839
2022-02-11;99.6169
2022-02-10;99.9753
2022-02-09;100.741
2022-02-08;101.3
2022-02-07;101.789
2022-02-06;101.789
2022-02-05;101.789
2022-02-04;102.322
2022-02-03;102.094
2022-02-02;103.097
2022-02-01;103.701
2022-01-31;103.682
2022-01-30;103.682
2022-01-29;103.682
2022-01-28;104.903
2022-01-27;105.352
2022-01-26;105.196
2022-01-25;103.666
2022-01-24;102.985
2022-01-23;102.985
2022-01-22;102.985
2022-01-21;102.74
2022-01-20;103.02
2022-01-19;102.502
2022-01-18;102.329
2022-01-17;102.189
2022-01-16;102.189
2022-01-15;102.189
2022-01-14;100.83
2022-01-13;100.642
2022-01-12;101.362
2022-01-11;101.31
2022-01-10;99.8422
2022-01-09;99.8422
2022-01-08;99.8422
2022-01-07;99.8422
2022-01-06;99.8422
2022-01-05;99.8422
2022-01-04;99.8422
2022-01-03;99.8422
2022-01-02;99.8422
2022-01-01;99.8422
2021-12-31;99.8422
2021-12-30;98.4361
2021-12-29;98.4184
2021-12-28;97.6732
2021-12-27;97.4711
2021-12-26;97.4711
2021-12-25;97.4711
2021-12-24;97.5101
2021-12-23;97.6531
2021-12-22;97.7446
2021-12-21;97.9095
2021-12-18;96.84
2021-12-17;96.6384
2021-12-16;97.1021
2021-12-15;96.8652
2021-12-14;96.9592
2021-12-11;97.0779
2021-12-10;97.4541
2021-12-09;97.7663
2021-12-08;98.2701
2021-12-07;97.7534
2021-12-04;98.2331
2021-12-03;98.8537
2021-12-02;98.7151
2021-12-01;99.7172
2021-11-30;99.8825
2021-11-27;100.941
2021-11-26;100.088
2021-11-25;99.9148
2021-11-24;100.561
2021-11-23;98.7073
2021-11-20;98.0444
2021-11-17;97.5665
2021-11-16;97.1762
2021-11-13;96.3956
2021-11-12;95.4791
2021-11-11;95.1801
2021-11-10;96.2162
2021-11-09;96.3458
2021-11-04;95.9501
2021-11-03;95.6167
2021-11-02;94.9038
2021-10-30;94.0643
2021-10-29;94.2727
2021-10-28;93.0681
2021-10-27;92.6565
2021-10-26;93.5095
2021-10-23;94.8333
2021-10-22;94.8246
2021-10-21;94.845
2021-10-20;94.6011
2021-10-19;94.5121
2021-10-16;94.9942
2021-10-15;95.3739
2021-10-14;95.5066
2021-10-13;95.1103
2021-10-12;95.1201
2021-10-09;95.9075
2021-10-08;96.7145
2021-10-07;97.0857
2021-10-06;97.4631
2021-10-05;98.1222
2021-10-02;98.1903
2021-10-01;97.8708
2021-09-30;98.0617
2021-09-29;97.9412
2021-09-28;98.5906
2021-09-25;99.0343
2021-09-24;98.6965
2021-09-23;98.6139
2021-09-22;99.39
2021-09-21;99.5655
2021-09-18;98.6677
2021-09-17;98.6287
2021-09-16;98.9178
2021-09-15;98.7635
2021-09-14;99.2734
2021-09-11;99.0842
2021-09-10;99.3803
2021-09-09;99.7258
2021-09-08;99.6791
2021-09-07;99.8512
2021-09-04;99.5974
2021-09-03;99.7079
2021-09-02;100.136
2021-09-01;100.237
2021-08-31;100.472
2021-08-28;100.253
2021-08-27;99.6778
2021-08-26;99.3517
2021-08-25;99.7027
2021-08-24;99.7564
2021-08-21;99.9248
2021-08-20;99.6671
2021-08-19;98.8839
2021-08-18;98.92
2021-08-17;98.9457
2021-08-14;98.8844
2021-08-13;99.0283
2021-08-12;99.3713
2021-08-11;98.9083
2021-08-10;98.9871
2021-08-07;98.6123
2021-08-06;98.6158
2021-08-05;98.1005
2021-08-04;98.1407
2021-08-03;98.2244
2021-07-31;98.3544
2021-07-30;98.5497
2021-07-29;99.0011
2021-07-28;99.1003
2021-07-27;99.4704
2021-07-24;99.1149
2021-07-23;99.0631
2021-07-22;99.9198
2021-07-21;99.7523
2021-07-20;99.3536
2021-07-17;99.4344
2021-07-16;99.5837
2021-07-15;99.3714
2021-07-14;99.4093
2021-07-13;100.107
2021-07-10;99.7803
2021-07-09;100.623
2021-07-08;99.1704
2021-07-07;98.3832
2021-07-06;98.6332
2021-07-03;98.4073
2021-07-02;97.9888
2021-07-01;97.7268
2021-06-30;97.435
2021-06-29;97.2693
2021-06-26;97.2765
2021-06-25;97.4639
2021-06-24;97.8879
2021-06-23;98.6033
2021-06-22;98.735
2021-06-19;97.7354
2021-06-18;98.2377
2021-06-17;98.1848
2021-06-16;98.0204
2021-06-12;98.0852
2021-06-11;98.8058
2021-06-10;98.7944
2021-06-09;99.9082
2021-06-08;100.143
2021-06-05;100.242
2021-06-04;100.289
2021-06-03;100.496
2021-06-02;100.564
2021-06-01;101.027
2021-05-29;101.599
2021-05-28;101.14
2021-05-27;101.089
2021-05-26;100.775
2021-05-25;100.903
2021-05-22;100.764
2021-05-21;100.62
2021-05-20;100.691
2021-05-19;100.992
2021-05-18;100.851
2021-05-15;101.037
2021-05-14;101.003
2021-05-13;100.856
2021-05-12;101.067
2021-05-08;100.757
2021-05-07;100.974
2021-05-06;101.164
2021-05-05;101.801
2021-05-01;101.059
2021-04-30;100.513
2021-04-29;100.728
2021-04-28;100.429
2021-04-27;100.074
2021-04-24;100.159
2021-04-23;101.882
2021-04-22;101.674
2021-04-21;101.7
2021-04-20;101.873
2021-04-17;101.591
2021-04-16;102.586
2021-04-15;100.713
2021-04-14;102.426
2021-04-13;103.436
2021-04-10;103.07
2021-04-09;103.597
2021-04-08;104.713
2021-04-07;104.092
2021-04-06;104.513
2021-04-03;103.791
2021-04-02;103.309
2021-04-01;103.055
2021-03-31;103.394
