updated;price
2022-11-19;71.4966
2022-11-18;71.5091
2022-11-17;71.4845
2022-11-16;71.4755
2022-11-15;71.5774
2022-11-14;71.4323
2022-11-13;71.4323
2022-11-12;71.4323
2022-11-11;72.7207
2022-11-10;72.5619
2022-11-09;72.5938
2022-11-08;72.9025
2022-11-07;74.1615
2022-11-06;74.1615
2022-11-05;74.1615
2022-11-04;74.1615
2022-11-03;73.7825
2022-11-02;73.5697
2022-11-01;73.796
2022-10-31;73.9168
2022-10-30;73.9168
2022-10-29;73.9168
2022-10-28;73.9878
2022-10-27;74.2604
2022-10-26;74.2023
2022-10-25;74.0195
2022-10-24;74.0749
2022-10-23;74.0749
2022-10-22;74.0749
2022-10-21;74.6746
2022-10-20;74.8737
2022-10-19;75.1188
2022-10-18;74.6677
2022-10-17;75.4467
2022-10-16;75.4467
2022-10-15;75.4467
2022-10-14;75.9606
2022-10-13;76.5033
2022-10-12;77.3337
2022-10-11;76.5584
2022-10-10;75.3203
2022-10-09;75.3203
2022-10-08;75.3203
2022-10-07;74.8699
2022-10-06;73.9507
2022-10-05;73.2498
2022-10-04;71.7998
2022-10-03;68.9707
2022-10-02;68.9707
2022-10-01;68.9707
2022-09-30;71.6025
2022-09-29;72.8177
2022-09-28;72.2618
2022-09-27;71.1866
2022-09-26;71.2317
2022-09-25;71.2317
2022-09-24;71.2317
2022-09-23;73.3794
2022-09-22;74.9668
2022-09-21;73.9732
2022-09-20;74.2342
2022-09-19;74.0662
2022-09-18;74.0662
2022-09-17;74.0662
2022-09-16;73.6201
2022-09-15;73.135
2022-09-14;73.3621
2022-09-13;73.7449
2022-09-12;73.6774
2022-09-11;73.6774
2022-09-10;73.6774
2022-09-09;74.2492
2022-09-08;75.2203
2022-09-07;75.0813
2022-09-06;75.2168
2022-09-05;74.6274
2022-09-04;74.6274
2022-09-03;74.6274
2022-09-02;74.5669
2022-09-01;74.646
2022-08-31;74.806
2022-08-30;74.8
2022-08-29;74.4789
2022-08-28;74.4789
2022-08-27;74.4789
2022-08-26;74.3582
2022-08-25;74.7222
2022-08-24;74.5638
2022-08-23;73.9838
2022-08-22;73.0206
2022-08-21;73.0206
2022-08-20;73.0206
2022-08-19;73.8375
2022-08-18;75.0237
2022-08-17;75.6382
2022-08-16;74.5065
2022-08-15;74.2635
2022-08-14;74.2635
2022-08-13;74.2635
2022-08-12;73.6972
2022-08-11;73.5182
2022-08-10;72.8987
2022-08-09;72.6704
2022-08-08;72.7382
2022-08-07;72.7382
2022-08-06;72.7382
2022-08-05;72.5843
2022-08-04;72.4551
2022-08-03;72.3601
2022-08-02;74.7737
2022-08-01;73.7131
2022-07-31;73.7131
2022-07-30;73.7131
2022-07-29;72.4723
2022-07-28;73.1103
2022-07-27;72.4558
2022-07-26;71.8489
2022-07-25;71.9561
2022-07-24;71.9561
2022-07-23;71.9561
2022-07-22;70.8817
2022-07-21;68.9678
2022-07-20;69.6319
2022-07-19;70.6304
2022-07-18;71.4249
2022-07-17;71.4249
2022-07-16;71.4249
2022-07-15;71.8333
2022-07-14;72.2874
2022-07-13;71.7983
2022-07-12;74.1778
2022-07-11;74.1317
2022-07-10;74.1317
2022-07-09;74.1317
2022-07-08;76.6527
2022-07-07;79.1333
2022-07-06;73.5997
2022-07-05;69.2903
2022-07-04;67.6322
2022-07-03;67.6322
2022-07-02;67.6322
2022-07-01;66.0532
2022-06-30;64.3497
2022-06-29;66.6288
2022-06-28;67.1244
2022-06-27;67.0723
2022-06-26;67.0723
2022-06-25;67.0723
2022-06-24;67.1131
2022-06-23;67.0174
2022-06-22;68.8109
2022-06-21;70.6575
2022-06-20;71.3325
2022-06-19;71.3325
2022-06-18;71.3325
2022-06-17;71.5326
2022-06-16;71.2726
2022-06-15;71.8137
2022-06-14;72.6755
2022-06-13;72.6755
2022-06-12;72.6755
2022-06-11;72.6755
2022-06-10;73.437
2022-06-09;75.7498
2022-06-08;76.6748
2022-06-07;76.8672
2022-06-06;77.9445
2022-06-05;77.9445
2022-06-04;77.9445
2022-06-03;77.4528
2022-06-02;77.2785
2022-06-01;75.582
2022-05-31;76.4188
2022-05-30;82.2086
2022-05-29;82.2086
2022-05-28;82.2086
2022-05-27;78.0497
2022-05-26;70.8171
2022-05-25;71.6591
2022-05-24;73.2185
2022-05-23;73.7279
2022-05-22;73.7279
2022-05-21;73.7279
