updated;price
2022-11-19;45.0452
2022-11-18;45.097
2022-11-17;45.546
2022-11-16;45.7738
2022-11-15;45.5526
2022-11-14;45.675
2022-11-13;45.675
2022-11-12;45.675
2022-11-11;44.4598
2022-11-10;44.74
2022-11-09;44.0302
2022-11-08;43.703
2022-11-07;43.6125
2022-11-06;43.6125
2022-11-05;43.6125
2022-11-04;43.6125
2022-11-03;43.4722
2022-11-02;43.3443
2022-11-01;43.2654
2022-10-31;43.2883
2022-10-30;43.2883
2022-10-29;43.2883
2022-10-28;43.302
2022-10-27;43.0588
2022-10-26;42.7972
2022-10-25;42.4831
2022-10-24;42.503
2022-10-23;42.503
2022-10-22;42.503
2022-10-21;42.9092
2022-10-20;43.185
2022-10-19;43.3705
2022-10-18;43.0317
2022-10-17;44.1413
2022-10-16;44.1413
2022-10-15;44.1413
2022-10-14;44.3595
2022-10-13;44.7441
2022-10-12;44.3729
2022-10-11;44.1182
2022-10-10;43.3641
2022-10-09;43.3641
2022-10-08;43.3641
2022-10-07;42.9645
2022-10-06;42.1277
2022-10-05;41.2137
2022-10-04;40.2506
2022-10-03;38.665
2022-10-02;38.665
2022-10-01;38.665
2022-09-30;39.9006
2022-09-29;40.5921
2022-09-28;40.9255
2022-09-27;40.5219
2022-09-26;41.2266
2022-09-25;41.2266
2022-09-24;41.2266
2022-09-23;42.4429
2022-09-22;43.6584
2022-09-21;43.1924
2022-09-20;43.1732
2022-09-19;43.2504
2022-09-18;43.2504
2022-09-17;43.2504
2022-09-16;42.8114
2022-09-15;42.9758
2022-09-14;43.7301
2022-09-13;43.7839
2022-09-12;43.7932
2022-09-11;43.7932
2022-09-10;43.7932
2022-09-09;44.0332
2022-09-08;44.1998
2022-09-07;44.3642
2022-09-06;44.4096
2022-09-05;44.306
2022-09-04;44.306
2022-09-03;44.306
2022-09-02;44.4586
2022-09-01;45.0348
2022-08-31;44.8264
2022-08-30;44.7005
2022-08-29;45.1381
2022-08-28;45.1381
2022-08-27;45.1381
2022-08-26;44.7648
2022-08-25;44.7041
2022-08-24;44.516
2022-08-23;44.5902
2022-08-22;44.5977
2022-08-21;44.5977
2022-08-20;44.5977
2022-08-19;45.3979
2022-08-18;46.3674
2022-08-17;46.9572
2022-08-16;47.1243
2022-08-15;46.7593
2022-08-14;46.7593
2022-08-13;46.7593
2022-08-12;46.5256
2022-08-11;46.1342
2022-08-10;46.2835
2022-08-09;46.1699
2022-08-08;46.499
2022-08-07;46.499
2022-08-06;46.499
2022-08-05;45.995
2022-08-04;45.9722
2022-08-03;46.1098
2022-08-02;47.5848
2022-08-01;47.1943
2022-07-31;47.1943
2022-07-30;47.1943
2022-07-29;46.4494
2022-07-28;45.8538
2022-07-27;44.8612
2022-07-26;43.9842
2022-07-25;43.7104
2022-07-24;43.7104
2022-07-23;43.7104
2022-07-22;43.189
2022-07-21;41.7771
2022-07-20;42.2088
2022-07-19;42.9343
2022-07-18;43.6108
2022-07-17;43.6108
2022-07-16;43.6108
2022-07-15;44.3997
2022-07-14;44.7871
2022-07-13;44.8549
2022-07-12;47.0163
2022-07-11;47.1135
2022-07-10;47.1135
2022-07-09;47.1135
2022-07-08;48.5788
2022-07-07;48.1597
2022-07-06;44.9987
2022-07-05;42.4684
2022-07-04;41.4458
2022-07-03;41.4458
2022-07-02;41.4458
2022-07-01;40.4439
2022-06-30;39.3826
2022-06-29;41.2731
2022-06-28;41.4801
2022-06-27;41.0749
2022-06-26;41.0749
2022-06-25;41.0749
2022-06-24;40.9877
2022-06-23;41.069
2022-06-22;42.2914
2022-06-21;43.4639
2022-06-20;44.0535
2022-06-19;44.0535
2022-06-18;44.0535
2022-06-17;44.2355
2022-06-16;43.9073
2022-06-15;44.3817
2022-06-14;45.5339
2022-06-13;45.5339
2022-06-12;45.5339
2022-06-11;45.5339
2022-06-10;46.4552
2022-06-09;48.0365
2022-06-08;48.4666
2022-06-07;48.737
2022-06-06;49.8687
2022-06-05;49.8687
2022-06-04;49.8687
2022-06-03;49.1786
2022-06-02;49.3429
2022-06-01;49.793
2022-05-31;50.9344
2022-05-30;52.8542
2022-05-29;52.8542
2022-05-28;52.8542
2022-05-27;48.9736
2022-05-26;44.5197
2022-05-25;44.9921
2022-05-24;46.0475
2022-05-23;46.4366
2022-05-22;46.4366
2022-05-21;46.4366
2022-05-20;48.8402
2022-05-19;50.185
2022-05-18;49.8375
2022-05-17;49.4078
2022-05-16;49.6651
2022-05-15;49.6651
2022-05-14;49.6651
2022-05-13;51.0567
2022-05-12;53.9786
2022-05-11;52.9459
2022-05-10;52.9459
2022-05-09;52.9459
2022-05-08;52.9459
2022-05-07;52.9459
2022-05-06;52.3081
2022-05-05;54.818
2022-05-04;56.552
2022-05-03;56.552
2022-05-02;56.552
2022-05-01;56.552
2022-04-30;56.552
2022-04-29;56.8136
2022-04-28;57.6007
2022-04-27;58.1299
2022-04-26;58.6936
2022-04-25;59.3213
2022-04-24;59.3213
2022-04-23;59.3213
2022-04-22;60.5319
2022-04-21;62.3581
2022-04-20;63.8926
2022-04-19;64.3656
2022-04-18;65.0973
2022-04-17;65.0973
2022-04-16;65.0973
2022-04-15;66.3738
2022-04-14;65.0221
2022-04-13;64.413
2022-04-12;64.1956
2022-04-11;61.0971
2022-04-10;61.0971
2022-04-09;61.0971
2022-04-08;62.5295
2022-04-07;67.7963
2022-04-06;68.7326
2022-04-05;68.835
2022-04-04;68.6372
2022-04-03;68.6372
2022-04-02;68.6372
2022-04-01;68.6788
2022-03-31;69.5148
2022-03-30;70.748
2022-03-29;76.3629
2022-03-28;78.4917
