updated;price
2022-11-19;13.152
2022-11-18;13.1467
2022-11-17;13.091
2022-11-16;13.1186
2022-11-15;13.0729
2022-11-14;12.8281
2022-11-13;12.8281
2022-11-12;12.8281
2022-11-11;13.1542
2022-11-10;13.1594
2022-11-09;13.1304
2022-11-08;13.1848
2022-11-07;13.4826
2022-11-06;13.4826
2022-11-05;13.4826
2022-11-04;13.4826
2022-11-03;13.2164
2022-11-02;13.1157
2022-11-01;13.1955
2022-10-31;13.2229
2022-10-30;13.2229
2022-10-29;13.2229
2022-10-28;13.0185
2022-10-27;12.9888
2022-10-26;12.9686
2022-10-25;12.9328
2022-10-24;13.0685
2022-10-23;13.0685
2022-10-22;13.0685
2022-10-21;13.0819
2022-10-20;13.0246
2022-10-19;13.0473
2022-10-18;12.9513
2022-10-17;13.1553
2022-10-16;13.1553
2022-10-15;13.1553
2022-10-14;13.2858
2022-10-13;13.4237
2022-10-12;13.453
2022-10-11;13.2007
2022-10-10;13.0661
2022-10-09;13.0661
2022-10-08;13.0661
2022-10-07;12.8182
2022-10-06;12.5676
2022-10-05;12.3638
2022-10-04;12.0758
2022-10-03;11.5957
2022-10-02;11.5957
2022-10-01;11.5957
2022-09-30;11.9763
2022-09-29;12.2047
2022-09-28;12.1867
2022-09-27;12.0977
2022-09-26;12.0718
2022-09-25;12.0718
2022-09-24;12.0718
2022-09-23;12.5242
2022-09-22;12.7271
2022-09-21;12.5677
2022-09-20;12.6103
2022-09-19;12.6598
2022-09-18;12.6598
2022-09-17;12.6598
2022-09-16;12.5902
2022-09-15;12.6254
2022-09-14;12.7265
2022-09-13;12.7721
2022-09-12;12.6649
2022-09-11;12.6649
2022-09-10;12.6649
2022-09-09;12.8516
2022-09-08;12.9493
2022-09-07;12.8757
2022-09-06;12.8904
2022-09-05;12.806
2022-09-04;12.806
2022-09-03;12.806
2022-09-02;12.7564
2022-09-01;12.8687
2022-08-31;12.8963
2022-08-30;12.8954
2022-08-29;12.9217
2022-08-28;12.9217
2022-08-27;12.9217
2022-08-26;12.9378
2022-08-25;12.7532
2022-08-24;12.6366
2022-08-23;12.5395
2022-08-22;12.4243
2022-08-21;12.4243
2022-08-20;12.4243
2022-08-19;12.5907
2022-08-18;12.7482
2022-08-17;12.8995
2022-08-16;12.8936
2022-08-15;12.7492
2022-08-14;12.7492
2022-08-13;12.7492
2022-08-12;12.6823
2022-08-11;12.637
2022-08-10;12.6687
2022-08-09;12.619
2022-08-08;12.6779
2022-08-07;12.6779
2022-08-06;12.6779
2022-08-05;12.6521
2022-08-04;12.6605
2022-08-03;12.546
2022-08-02;13.0061
2022-08-01;12.8055
2022-07-31;12.8055
2022-07-30;12.8055
2022-07-29;12.5381
2022-07-28;12.5502
2022-07-27;12.3257
2022-07-26;11.9414
2022-07-25;11.906
2022-07-24;11.906
2022-07-23;11.906
2022-07-22;11.737
2022-07-21;11.4183
2022-07-20;11.4497
2022-07-19;11.7746
2022-07-18;12.0889
2022-07-17;12.0889
2022-07-16;12.0889
2022-07-15;12.2411
2022-07-14;12.3647
2022-07-13;12.6609
2022-07-12;12.9084
2022-07-11;12.8376
2022-07-10;12.8376
2022-07-09;12.8376
2022-07-08;13.4558
2022-07-07;13.4064
2022-07-06;12.606
2022-07-05;11.8098
2022-07-04;11.4316
2022-07-03;11.4316
2022-07-02;11.4316
2022-07-01;11.291
2022-06-30;11.2176
2022-06-29;11.4915
2022-06-28;11.3324
2022-06-27;11.4721
2022-06-26;11.4721
2022-06-25;11.4721
2022-06-24;11.75
2022-06-23;11.8944
2022-06-22;12.3422
2022-06-21;12.5703
2022-06-20;12.8254
2022-06-19;12.8254
2022-06-18;12.8254
2022-06-17;12.9711
2022-06-16;12.9983
2022-06-15;13.0892
2022-06-14;13.2973
2022-06-13;13.2973
2022-06-12;13.2973
2022-06-11;13.2973
2022-06-10;13.4709
2022-06-09;14.0258
2022-06-08;14.1142
2022-06-07;14.1473
2022-06-06;14.3181
2022-06-05;14.3181
2022-06-04;14.3181
2022-06-03;14.5012
2022-06-02;14.8246
2022-06-01;14.4147
2022-05-31;14.5621
2022-05-30;15.7349
2022-05-29;15.7349
2022-05-28;15.7349
2022-05-27;14.9474
2022-05-26;13.504
2022-05-25;13.4095
2022-05-24;13.6955
2022-05-23;13.6497
2022-05-22;13.6497
2022-05-21;13.6497
2022-05-20;14.4221
2022-05-19;14.6871
2022-05-18;14.7922
2022-05-17;14.829
2022-05-16;14.6701
2022-05-15;14.6701
2022-05-14;14.6701
2022-05-13;14.8645
2022-05-12;15.8443
2022-05-11;15.7514
2022-05-10;15.7514
2022-05-09;15.7514
2022-05-08;15.7514
2022-05-07;15.7514
2022-05-06;15.1626
2022-05-05;15.7178
2022-05-04;15.8362
2022-05-03;15.8362
2022-05-02;15.8362
2022-05-01;15.8362
2022-04-30;15.8362
2022-04-29;16.0817
2022-04-28;16.0687
2022-04-27;16.2203
2022-04-26;16.5231
2022-04-25;16.5537
2022-04-24;16.5537
2022-04-23;16.5537
2022-04-22;16.8905
2022-04-21;17.3774
2022-04-20;17.5678
2022-04-19;17.4902
2022-04-18;17.8593
2022-04-17;17.8593
2022-04-16;17.8593
2022-04-15;18.0572
2022-04-14;17.7541
2022-04-13;17.7135
2022-04-12;17.7134
2022-04-11;16.3118
2022-04-10;16.3118
2022-04-09;16.3118
2022-04-08;16.4975
2022-04-07;17.8428
2022-04-06;17.6309
2022-04-05;17.6894
2022-04-04;17.5449
2022-04-03;17.5449
2022-04-02;17.5449
2022-04-01;17.7349
2022-03-31;18.0649
2022-03-30;18.4763
2022-03-29;19.4731
2022-03-28;19.3977
2022-03-27;19.3977
2022-03-26;19.3977
2022-03-25;19.4515
2022-03-24;20.3014
2022-03-23;20.5133
2022-03-22;20.6331
2022-03-21;20.4893
2022-03-20;20.4893
2022-03-19;20.4893
2022-03-18;20.6141
2022-03-17;21.2006
2022-03-16;21.7075
2022-03-15;22.4903
2022-03-14;22.8376
2022-03-13;22.8376
2022-03-12;22.8376
2022-03-11;23.1488
2022-03-10;23.0647
2022-03-09;20.7345
2022-03-08;20.7345
2022-03-07;20.7345
2022-03-06;20.7345
2022-03-05;21.0524
2022-03-04;22.5809
2022-03-03;20.9806
2022-03-02;18.6621
2022-03-01;18.8393
2022-02-28;18.0019
2022-02-27;18.0019
2022-02-26;18.0019
2022-02-25;18.5306
2022-02-24;18.4681
2022-02-23;18.4681
2022-02-22;17.953
2022-02-21;17.6931
2022-02-20;17.6931
2022-02-19;17.6931
2022-02-18;17.6786
2022-02-17;17.5533
2022-02-16;17.6945
2022-02-15;17.765
2022-02-14;17.4631
2022-02-13;17.4631
2022-02-12;17.4631
2022-02-11;17.5018
2022-02-10;17.559
2022-02-09;17.5965
2022-02-08;17.5695
2022-02-07;17.5942
2022-02-06;17.5942
2022-02-05;17.5942
2022-02-04;17.6308
2022-02-03;17.6253
2022-02-02;17.7719
2022-02-01;17.8379
2022-01-31;17.8808
2022-01-30;17.8808
2022-01-29;17.8808
2022-01-28;18.1675
2022-01-27;18.1167
2022-01-26;18.0165
2022-01-25;17.7402
2022-01-24;17.5815
2022-01-23;17.5815
2022-01-22;17.5815
2022-01-21;17.5323
2022-01-20;17.5964
2022-01-19;17.52
2022-01-18;17.4625
2022-01-17;17.3677
2022-01-16;17.3677
2022-01-15;17.3677
2022-01-14;17.1442
2022-01-13;17.1367
2022-01-12;17.1858
2022-01-11;17.2328
2022-01-10;16.9
2022-01-09;16.9
2022-01-08;16.9
2022-01-07;16.9
