updated;price
2022-11-19;31.5036
2022-11-18;31.571
2022-11-17;31.4898
2022-11-16;31.458
2022-11-15;31.3931
2022-11-14;31.2715
2022-11-13;31.2715
2022-11-12;31.2715
2022-11-11;31.7651
2022-11-10;31.6254
2022-11-09;31.5195
2022-11-08;31.7019
2022-11-07;32.2184
2022-11-06;32.2184
2022-11-05;32.2184
2022-11-04;32.2184
2022-11-03;31.9328
2022-11-02;31.814
2022-11-01;31.8802
2022-10-31;31.8125
2022-10-30;31.8125
2022-10-29;31.8125
2022-10-28;31.7118
2022-10-27;31.7066
2022-10-26;31.6162
2022-10-25;31.5396
2022-10-24;31.5177
2022-10-23;31.5177
2022-10-22;31.5177
2022-10-21;31.7069
2022-10-20;31.7619
2022-10-19;31.7783
2022-10-18;31.8011
2022-10-17;32.4752
2022-10-16;32.4752
2022-10-15;32.4752
2022-10-14;32.6997
2022-10-13;32.8351
2022-10-12;32.7717
2022-10-11;32.0736
2022-10-10;31.5032
2022-10-09;31.5032
2022-10-08;31.5032
2022-10-07;30.9466
2022-10-06;30.4694
2022-10-05;30.1094
2022-10-04;29.4519
2022-10-03;28.2829
2022-10-02;28.2829
2022-10-01;28.2829
2022-09-30;29.3641
2022-09-29;29.9086
2022-09-28;29.8563
2022-09-27;29.8257
2022-09-26;29.9225
2022-09-25;29.9225
2022-09-24;29.9225
2022-09-23;30.8709
2022-09-22;31.4045
2022-09-21;30.9559
2022-09-20;31.0364
2022-09-19;30.9791
2022-09-18;30.9791
2022-09-17;30.9791
2022-09-16;30.8869
2022-09-15;30.892
2022-09-14;31.0212
2022-09-13;31.1754
2022-09-12;31.141
2022-09-11;31.141
2022-09-10;31.141
2022-09-09;31.3391
2022-09-08;31.5314
2022-09-07;31.3792
2022-09-06;31.4523
2022-09-05;31.1692
2022-09-04;31.1692
2022-09-03;31.1692
2022-09-02;31.0949
2022-09-01;31.0957
2022-08-31;31.1802
2022-08-30;31.1907
2022-08-29;31.0094
2022-08-28;31.0094
2022-08-27;31.0094
2022-08-26;30.8783
2022-08-25;31.085
2022-08-24;31.0843
2022-08-23;31.0573
2022-08-22;30.7491
2022-08-21;30.7491
2022-08-20;30.7491
2022-08-19;31.1889
2022-08-18;31.5866
2022-08-17;31.9431
2022-08-16;31.8424
2022-08-15;31.5933
2022-08-14;31.5933
2022-08-13;31.5933
2022-08-12;31.4296
2022-08-11;31.3299
2022-08-10;31.2768
2022-08-09;31.2397
2022-08-08;31.2673
2022-08-07;31.2673
2022-08-06;31.2673
2022-08-05;31.1588
2022-08-04;31.1712
2022-08-03;31.1188
2022-08-02;32.1258
2022-08-01;31.7146
2022-07-31;31.7146
2022-07-30;31.7146
2022-07-29;31.1712
2022-07-28;31.1555
2022-07-27;30.3583
2022-07-26;29.9184
2022-07-25;29.7315
2022-07-24;29.7315
2022-07-23;29.7315
2022-07-22;29.2438
2022-07-21;28.3995
2022-07-20;28.7039
2022-07-19;29.3002
2022-07-18;29.9396
2022-07-17;29.9396
2022-07-16;29.9396
2022-07-15;30.1747
2022-07-14;30.3631
2022-07-13;30.5566
2022-07-12;31.8755
2022-07-11;31.8814
2022-07-10;31.8814
2022-07-09;31.8814
2022-07-08;32.9347
2022-07-07;32.868
2022-07-06;30.5845
2022-07-05;28.8127
2022-07-04;28.1439
2022-07-03;28.1439
2022-07-02;28.1439
2022-07-01;27.4623
2022-06-30;26.7144
2022-06-29;27.5842
2022-06-28;27.7724
2022-06-27;27.7107
2022-06-26;27.7107
2022-06-25;27.7107
2022-06-24;27.7638
2022-06-23;27.7407
2022-06-22;28.4326
2022-06-21;29.1876
2022-06-20;29.5531
2022-06-19;29.5531
2022-06-18;29.5531
2022-06-17;29.6897
2022-06-16;29.646
2022-06-15;29.9501
2022-06-14;30.3499
2022-06-13;30.3499
2022-06-12;30.3499
2022-06-11;30.3499
2022-06-10;30.6621
2022-06-09;31.6681
2022-06-08;32.0051
2022-06-07;32.1138
2022-06-06;32.5583
2022-06-05;32.5583
2022-06-04;32.5583
2022-06-03;32.3565
2022-06-02;32.2608
2022-06-01;32.3052
2022-05-31;33.1012
2022-05-30;34.8166
2022-05-29;34.8166
2022-05-28;34.8166
2022-05-27;32.4732
2022-05-26;29.4456
2022-05-25;29.7328
2022-05-24;30.3697
2022-05-23;30.7453
2022-05-22;30.7453
2022-05-21;30.7453
2022-05-20;32.712
2022-05-19;33.3848
2022-05-18;33.4133
2022-05-17;33.435
2022-05-16;33.7174
2022-05-15;33.7174
2022-05-14;33.7174
2022-05-13;34.8637
2022-05-12;36.5649
2022-05-11;35.9715
2022-05-10;35.9715
2022-05-09;35.9715
2022-05-08;35.9715
2022-05-07;35.9715
2022-05-06;35.4376
2022-05-05;37.2146
2022-05-04;38.3177
2022-05-03;38.3177
2022-05-02;38.3177
2022-05-01;38.3177
2022-04-30;38.3177
2022-04-29;39.1352
2022-04-28;39.468
2022-04-27;39.3617
2022-04-26;39.7148
2022-04-25;39.7791
2022-04-24;39.7791
2022-04-23;39.7791
2022-04-22;40.5516
2022-04-21;41.6951
2022-04-20;42.8078
2022-04-19;43.0487
2022-04-18;43.3771
2022-04-17;43.3771
2022-04-16;43.3771
2022-04-15;44.0523
2022-04-14;43.3466
2022-04-13;43.2438
2022-04-12;43.0313
2022-04-11;40.7489
2022-04-10;40.7489
