updated;price
2022-11-19;59.8036
2022-11-18;59.5374
2022-11-17;60.6608
2022-11-16;60.6055
2022-11-15;60.2266
2022-11-14;60.3446
2022-11-13;60.3446
2022-11-12;60.3446
2022-11-11;58.7664
2022-11-10;59.4026
2022-11-09;59.2324
2022-11-08;59.6866
2022-11-07;58.5547
2022-11-06;58.5547
2022-11-05;58.5547
2022-11-04;58.5547
2022-11-03;59.5263
2022-11-02;59.9778
2022-11-01;59.3452
2022-10-31;59.5409
2022-10-30;59.5409
2022-10-29;59.5409
2022-10-28;59.4361
2022-10-27;59.527
2022-10-26;58.2334
2022-10-25;57.7744
2022-10-24;57.0479
2022-10-23;57.0479
2022-10-22;57.0479
2022-10-21;58.1324
2022-10-20;57.9812
2022-10-19;58.6694
2022-10-18;58.3015
2022-10-17;59.3321
2022-10-16;59.3321
2022-10-15;59.3321
2022-10-14;59.7074
2022-10-13;59.3774
2022-10-12;59.3846
2022-10-11;58.4371
2022-10-10;57.3403
2022-10-09;57.3403
2022-10-08;57.3403
2022-10-07;56.9756
2022-10-06;56.1578
2022-10-05;55.4509
2022-10-04;53.2273
2022-10-03;51.1102
2022-10-02;51.1102
2022-10-01;51.1102
2022-09-30;53.4582
2022-09-29;53.5822
2022-09-28;54.1965
2022-09-27;54.0798
2022-09-26;55.4062
2022-09-25;55.4062
2022-09-24;55.4062
2022-09-23;57.7026
2022-09-22;58.6261
2022-09-21;58.3499
2022-09-20;58.4427
2022-09-19;58.5508
2022-09-18;58.5508
2022-09-17;58.5508
2022-09-16;58.8303
2022-09-15;59.0745
2022-09-14;61.1157
2022-09-13;61.4986
2022-09-12;60.8573
2022-09-11;60.8573
2022-09-10;60.8573
2022-09-09;60.3712
2022-09-08;60.834
2022-09-07;61.0681
2022-09-06;60.8796
2022-09-05;60.2959
2022-09-04;60.2959
2022-09-03;60.2959
2022-09-02;60.1672
2022-09-01;60.5754
2022-08-31;62.0378
2022-08-30;61.8619
2022-08-29;62.1972
2022-08-28;62.1972
2022-08-27;62.1972
2022-08-26;61.777
2022-08-25;61.8747
2022-08-24;60.9756
2022-08-23;61.1177
2022-08-22;60.3943
2022-08-21;60.3943
2022-08-20;60.3943
2022-08-19;62.0769
2022-08-18;62.7397
2022-08-17;63.1974
2022-08-16;63.3637
2022-08-15;63.8598
2022-08-14;63.8598
2022-08-13;63.8598
2022-08-12;63.9293
2022-08-11;62.5334
2022-08-10;62.1771
2022-08-09;61.8833
2022-08-08;61.8966
2022-08-07;61.8966
2022-08-06;61.8966
2022-08-05;61.8151
2022-08-04;62.1728
2022-08-03;61.8397
2022-08-02;64.3832
2022-08-01;63.2545
2022-07-31;63.2545
2022-07-30;63.2545
2022-07-29;61.5769
2022-07-28;61.4012
2022-07-27;59.3123
2022-07-26;58.7324
2022-07-25;57.6743
2022-07-24;57.6743
2022-07-23;57.6743
2022-07-22;56.8181
2022-07-21;55.086
2022-07-20;55.7604
2022-07-19;55.7581
2022-07-18;56.6001
2022-07-17;56.6001
2022-07-16;56.6001
2022-07-15;56.8792
2022-07-14;57.5199
2022-07-13;57.5298
2022-07-12;60.1007
2022-07-11;60.6328
2022-07-10;60.6328
2022-07-09;60.6328
2022-07-08;62.431
2022-07-07;62.2863
2022-07-06;58.5669
2022-07-05;55.9468
2022-07-04;54.0258
2022-07-03;54.0258
2022-07-02;54.0258
2022-07-01;52.7529
2022-06-30;52.1541
2022-06-29;53.8044
2022-06-28;53.8216
2022-06-27;53.4153
2022-06-26;53.4153
2022-06-25;53.4153
2022-06-24;53.4417
2022-06-23;54.4222
2022-06-22;55.2786
2022-06-21;56.3525
2022-06-20;56.3915
2022-06-19;56.3915
2022-06-18;56.3915
2022-06-17;57.1113
2022-06-16;56.9758
2022-06-15;57.827
2022-06-14;60.9627
2022-06-13;60.9627
2022-06-12;60.9627
2022-06-11;60.9627
2022-06-10;61.8415
2022-06-09;63.053
2022-06-08;64.7392
2022-06-07;64.9016
2022-06-06;65.6989
2022-06-05;65.6989
2022-06-04;65.6989
2022-06-03;65.6716
2022-06-02;65.2154
2022-06-01;65.4912
2022-05-31;66.4632
2022-05-30;68.8963
2022-05-29;68.8963
2022-05-28;68.8963
2022-05-27;64.3794
2022-05-26;58.6582
2022-05-25;59.2304
2022-05-24;59.9954
2022-05-23;60.1131
2022-05-22;60.1131
2022-05-21;60.1131
2022-05-20;64.3006
2022-05-19;65.4405
2022-05-18;64.8065
2022-05-17;64.568
2022-05-16;64.5128
2022-05-15;64.5128
2022-05-14;64.5128
2022-05-13;68.2068
2022-05-12;71.0089
2022-05-11;72.3233
2022-05-10;72.3233
2022-05-09;72.3233
2022-05-08;72.3233
2022-05-07;72.3233
2022-05-06;70.4298
2022-05-05;73.9483
2022-05-04;75.2282
2022-05-03;75.2282
2022-05-02;75.2282
2022-05-01;75.2282
2022-04-30;75.2282
2022-04-29;78.201
2022-04-28;79.4224
2022-04-27;80.5344
2022-04-26;82.4421
2022-04-25;83.5436
2022-04-24;83.5436
2022-04-23;83.5436
2022-04-22;85.1024
2022-04-21;87.4429
2022-04-20;89.4071
2022-04-19;89.887
2022-04-18;90.5554
2022-04-17;90.5554
2022-04-16;90.5554
2022-04-15;91.9631
2022-04-14;90.9079
2022-04-13;90.9051
2022-04-12;90.4237
2022-04-11;85.4717
2022-04-10;85.4717
2022-04-09;85.4717
2022-04-08;87.1971
2022-04-07;94.9698
2022-04-06;96.062
2022-04-05;95.6116
2022-04-04;95.2239
2022-04-03;95.2239
2022-04-02;95.2239
2022-04-01;95.4115
2022-03-31;97.5499
2022-03-30;99.7529
2022-03-29;107.598
2022-03-28;110.571
2022-03-27;110.571
2022-03-26;110.571
2022-03-25;111.117
2022-03-24;117.561
2022-03-23;119.318
2022-03-22;119.719
2022-03-21;118.136
2022-03-20;118.136
2022-03-19;118.136
2022-03-18;118.646
2022-03-17;121.311
2022-03-16;124.3
2022-03-15;128.646
2022-03-14;130.383
2022-03-13;130.383
2022-03-12;130.383
2022-03-11;134.434
2022-03-10;129.119
2022-03-09;118.18
2022-03-08;118.18
2022-03-07;118.18
2022-03-06;118.18
2022-03-05;118.762
2022-03-04;125.874
2022-03-03;115.856
2022-03-02;104.292
2022-03-01;104.927
2022-02-28;92.9628
2022-02-27;92.9628
2022-02-26;92.9628
2022-02-25;96.8976
2022-02-24;89.8521
2022-02-23;89.8521
2022-02-22;85.8145
2022-02-21;85.1229
2022-02-20;85.1229
2022-02-19;85.1229
2022-02-18;85.0428
2022-02-17;84.224
2022-02-16;86.0516
2022-02-15;85.975
2022-02-14;84.9486
2022-02-13;84.9486
2022-02-12;84.9486
2022-02-11;84.8308
2022-02-10;84.8522
2022-02-09;85.572
2022-02-08;85.9431
2022-02-07;87.2203
2022-02-06;87.2203
2022-02-05;87.2203
2022-02-04;86.9305
2022-02-03;86.7884
2022-02-02;87.1449
2022-02-01;86.5038
2022-01-31;86.6554
2022-01-30;86.6554
2022-01-29;86.6554
2022-01-28;88.0987
2022-01-27;88.8046
2022-01-26;87.1797
2022-01-25;86.7903
2022-01-24;86.796
2022-01-23;86.796
2022-01-22;86.796
2022-01-21;87.2214
2022-01-20;87.3887
2022-01-19;87.1112
2022-01-18;86.9282
2022-01-17;87.3533
2022-01-16;87.3533
2022-01-15;87.3533
2022-01-14;86.3312
2022-01-13;85.0074
2022-01-12;84.7831
2022-01-11;84.95
2022-01-10;84.2568
2022-01-09;84.2568
2022-01-08;84.2568
2022-01-07;84.2568
2022-01-06;84.2568
2022-01-05;84.2568
2022-01-04;84.2568
2022-01-03;84.2568
2022-01-02;84.2568
2022-01-01;84.2568
2021-12-31;84.2568
2021-12-30;83.4861
2021-12-29;83.1721
2021-12-28;82.3702
2021-12-27;83.0236
2021-12-26;83.0236
2021-12-25;83.0236
2021-12-24;82.7244
2021-12-23;82.678
2021-12-22;81.822
2021-12-21;81.8305
2021-12-18;82.066
2021-12-17;81.6909
2021-12-16;81.2308
2021-12-15;81.0889
2021-12-14;81.8786
2021-12-11;81.8653
2021-12-10;82.4953
2021-12-09;82.1352
2021-12-08;81.9588
2021-12-07;80.383
2021-12-04;81.0189
2021-12-03;81.6426
2021-12-02;81.8213
2021-12-01;82.9817
2021-11-30;82.4039
2021-11-27;83.1553
2021-11-26;83.3152
2021-11-25;83.4644
2021-11-24;83.5214
2021-11-23;82.4278
2021-11-20;82.5187
2021-11-17;83.441
2021-11-16;83.3006
2021-11-13;82.7411
2021-11-12;82.1626
2021-11-11;82.9685
2021-11-10;83.8656
2021-11-09;83.3674
2021-11-04;84.105
2021-11-03;84.9486
2021-11-02;84.2025
2021-10-30;84.3349
2021-10-29;83.8474
2021-10-28;83.1324
2021-10-27;83.1899
2021-10-26;84.2274
2021-10-23;85.0178
2021-10-22;84.9767
2021-10-21;84.5486
2021-10-20;84.6049
2021-10-19;84.2714
2021-10-16;84.6952
2021-10-15;85.1446
2021-10-14;84.1997
2021-10-13;83.9789
2021-10-12;83.852
2021-10-09;83.6946
2021-10-08;83.9766
2021-10-07;84.3424
2021-10-06;84.562
2021-10-05;84.6338
2021-10-02;83.4543
2021-10-01;82.6895
2021-09-30;83.8509
2021-09-29;83.8595
2021-09-28;84.5135
2021-09-25;84.989
2021-09-24;84.6244
2021-09-23;84.0723
2021-09-22;84.3084
2021-09-21;83.6459
2021-09-18;84.3125
2021-09-17;84.1734
2021-09-16;84.7077
2021-09-15;84.486
2021-09-14;84.5147
2021-09-11;84.3057
2021-09-10;84.0447
2021-09-09;84.1493
2021-09-08;84.4225
2021-09-07;84.2773
2021-09-04;84.2551
2021-09-03;83.7827
2021-09-02;84.2363
2021-09-01;84.6246
2021-08-31;84.7378
2021-08-28;83.7758
2021-08-27;83.9241
2021-08-26;83.6361
2021-08-25;83.186
2021-08-24;82.6129
2021-08-21;81.7771
2021-08-20;82.4763
