updated;price
2022-11-19;13.337
2022-11-18;13.2972
2022-11-17;13.3597
2022-11-16;13.3209
2022-11-15;13.2371
2022-11-14;13.2408
2022-11-13;13.2408
2022-11-12;13.2408
2022-11-11;12.9377
2022-11-10;13.0408
2022-11-09;12.9805
2022-11-08;13.0377
2022-11-07;12.8703
2022-11-06;12.8703
2022-11-05;12.8703
2022-11-04;12.8703
2022-11-03;12.9579
2022-11-02;12.9824
2022-11-01;12.9776
2022-10-31;12.9549
2022-10-30;12.9549
2022-10-29;12.9549
2022-10-28;12.9449
2022-10-27;12.933
2022-10-26;12.6556
2022-10-25;12.5656
2022-10-24;12.417
2022-10-23;12.417
2022-10-22;12.417
2022-10-21;12.6682
2022-10-20;12.5823
2022-10-19;12.6527
2022-10-18;12.5164
2022-10-17;12.6852
2022-10-16;12.6852
2022-10-15;12.6852
2022-10-14;12.8098
2022-10-13;12.754
2022-10-12;12.7035
2022-10-11;12.4238
2022-10-10;12.3316
2022-10-09;12.3316
2022-10-08;12.3316
2022-10-07;12.2571
2022-10-06;12.2734
2022-10-05;12.0843
2022-10-04;11.6395
2022-10-03;11.1216
2022-10-02;11.1216
2022-10-01;11.1216
2022-09-30;11.4794
2022-09-29;11.6552
2022-09-28;11.7781
2022-09-27;11.7545
2022-09-26;11.922
2022-09-25;11.922
2022-09-24;11.922
2022-09-23;12.4163
2022-09-22;12.6828
2022-09-21;12.683
2022-09-20;12.7695
2022-09-19;12.682
2022-09-18;12.682
2022-09-17;12.682
2022-09-16;12.5947
2022-09-15;12.6572
2022-09-14;12.9856
2022-09-13;13.0664
2022-09-12;12.862
2022-09-11;12.862
2022-09-10;12.862
2022-09-09;12.9125
2022-09-08;12.8059
2022-09-07;12.8331
2022-09-06;12.7707
2022-09-05;12.819
2022-09-04;12.819
2022-09-03;12.819
2022-09-02;12.7908
2022-09-01;12.7419
2022-08-31;12.79
2022-08-30;12.7331
2022-08-29;12.663
2022-08-28;12.663
2022-08-27;12.663
2022-08-26;12.5194
2022-08-25;12.5109
2022-08-24;12.4375
2022-08-23;12.5455
2022-08-22;12.5137
2022-08-21;12.5137
2022-08-20;12.5137
2022-08-19;12.9151
2022-08-18;13.1184
2022-08-17;13.2424
2022-08-16;13.3522
2022-08-15;13.4077
2022-08-14;13.4077
2022-08-13;13.4077
2022-08-12;13.384
2022-08-11;13.1786
2022-08-10;13.1258
2022-08-09;13.077
2022-08-08;13.117
2022-08-07;13.117
2022-08-06;13.117
2022-08-05;12.9791
2022-08-04;13.0812
2022-08-03;13.0588
2022-08-02;13.4242
2022-08-01;13.1901
2022-07-31;13.1901
2022-07-30;13.1901
2022-07-29;12.7368
2022-07-28;12.7304
2022-07-27;12.5236
2022-07-26;12.5652
2022-07-25;12.305
2022-07-24;12.305
2022-07-23;12.305
2022-07-22;12.1694
2022-07-21;11.7029
2022-07-20;11.9212
2022-07-19;11.9745
2022-07-18;12.1622
2022-07-17;12.1622
2022-07-16;12.1622
2022-07-15;12.1073
2022-07-14;12.2148
2022-07-13;12.2695
2022-07-12;12.9084
2022-07-11;13.0682
2022-07-10;13.0682
2022-07-09;13.0682
2022-07-08;13.4719
2022-07-07;13.4156
2022-07-06;12.697
2022-07-05;12.2372
2022-07-04;11.8839
2022-07-03;11.8839
2022-07-02;11.8839
2022-07-01;11.6381
2022-06-30;11.482
2022-06-29;11.9122
2022-06-28;12.0025
2022-06-27;11.9366
2022-06-26;11.9366
2022-06-25;11.9366
2022-06-24;11.9078
2022-06-23;11.9419
2022-06-22;12.4373
