updated;price
2022-11-19;12.6788
2022-11-18;12.6762
2022-11-17;12.7922
2022-11-16;12.8268
2022-11-15;12.6919
2022-11-14;12.6391
2022-11-13;12.6391
2022-11-12;12.6391
2022-11-11;12.4461
2022-11-10;12.4992
2022-11-09;12.4655
2022-11-08;12.5078
2022-11-07;12.3342
2022-11-06;12.3342
2022-11-05;12.3342
2022-11-04;12.3342
2022-11-03;12.4169
2022-11-02;12.4171
2022-11-01;12.4523
2022-10-31;12.469
2022-10-30;12.469
2022-10-29;12.469
2022-10-28;12.5906
2022-10-27;12.6197
2022-10-26;12.3445
2022-10-25;12.2216
2022-10-24;12.1338
2022-10-23;12.1338
2022-10-22;12.1338
2022-10-21;12.2202
2022-10-20;12.2607
2022-10-19;12.2951
2022-10-18;12.2069
2022-10-17;12.4265
2022-10-16;12.4265
2022-10-15;12.4265
2022-10-14;12.5028
2022-10-13;12.5247
2022-10-12;12.5126
2022-10-11;12.2443
2022-10-10;12.1504
2022-10-09;12.1504
2022-10-08;12.1504
2022-10-07;12.07
2022-10-06;11.9274
2022-10-05;11.7278
2022-10-04;11.3516
2022-10-03;10.957
2022-10-02;10.957
2022-10-01;10.957
2022-09-30;11.2515
2022-09-29;11.2848
2022-09-28;11.3228
2022-09-27;11.3423
2022-09-26;11.4644
2022-09-25;11.4644
2022-09-24;11.4644
2022-09-23;11.9418
2022-09-22;12.2314
2022-09-21;12.1728
2022-09-20;12.1883
2022-09-19;12.1581
2022-09-18;12.1581
2022-09-17;12.1581
2022-09-16;12.1054
2022-09-15;12.1452
2022-09-14;12.4045
2022-09-13;12.5211
2022-09-12;12.4608
2022-09-11;12.4608
2022-09-10;12.4608
2022-09-09;12.4856
2022-09-08;12.4781
2022-09-07;12.5522
2022-09-06;12.537
2022-09-05;12.4778
2022-09-04;12.4778
2022-09-03;12.4778
2022-09-02;12.4521
2022-09-01;12.3675
2022-08-31;12.4477
2022-08-30;12.34
2022-08-29;12.3294
2022-08-28;12.3294
2022-08-27;12.3294
2022-08-26;12.2602
2022-08-25;12.2249
2022-08-24;12.1679
2022-08-23;12.2387
2022-08-22;12.2055
2022-08-21;12.2055
2022-08-20;12.2055
2022-08-19;12.489
2022-08-18;12.6526
2022-08-17;12.7501
2022-08-16;12.9346
2022-08-15;12.8344
2022-08-14;12.8344
2022-08-13;12.8344
2022-08-12;12.7643
2022-08-11;12.5875
2022-08-10;12.6044
2022-08-09;12.4801
2022-08-08;12.5313
2022-08-07;12.5313
2022-08-06;12.5313
2022-08-05;12.4693
2022-08-04;12.4591
2022-08-03;12.5015
2022-08-02;12.9221
2022-08-01;12.6642
2022-07-31;12.6642
2022-07-30;12.6642
2022-07-29;12.4107
2022-07-28;12.3858
2022-07-27;12.1047
2022-07-26;12.0047
2022-07-25;11.8177
2022-07-24;11.8177
2022-07-23;11.8177
2022-07-22;11.6419
2022-07-21;11.3743
2022-07-20;11.5026
2022-07-19;11.626
2022-07-18;11.7564
2022-07-17;11.7564
2022-07-16;11.7564
2022-07-15;11.8286
2022-07-14;11.8915
2022-07-13;11.916
2022-07-12;12.53
2022-07-11;12.5397
2022-07-10;12.5397
2022-07-09;12.5397
2022-07-08;13.0293
2022-07-07;13.0132
2022-07-06;12.1677
2022-07-05;11.6342
2022-07-04;11.3707
2022-07-03;11.3707
2022-07-02;11.3707
2022-07-01;11.0729
2022-06-30;10.8835
2022-06-29;11.3389
2022-06-28;11.4197
2022-06-27;11.3684
2022-06-26;11.3684
2022-06-25;11.3684
2022-06-24;11.3363
2022-06-23;11.3258
2022-06-22;11.6913
2022-06-21;11.9677
2022-06-20;12.0534
2022-06-19;12.0534
2022-06-18;12.0534
2022-06-17;11.9815
2022-06-16;12.0144
2022-06-15;12.0609
2022-06-14;12.3814
2022-06-13;12.3814
2022-06-12;12.3814
2022-06-11;12.3814
2022-06-10;12.6551
2022-06-09;13.0378
2022-06-08;13.1769
2022-06-07;13.2838
2022-06-06;13.472
2022-06-05;13.472
2022-06-04;13.472
2022-06-03;13.3178
2022-06-02;13.353
2022-06-01;13.382
2022-05-31;13.7431
2022-05-30;14.4047
2022-05-29;14.4047
2022-05-28;14.4047
2022-05-27;13.4324
2022-05-26;12.1629
2022-05-25;12.339
2022-05-24;12.5661
2022-05-23;12.6027
2022-05-22;12.6027
2022-05-21;12.6027
2022-05-20;13.2375
2022-05-19;13.5186
2022-05-18;13.4491
2022-05-17;13.3638
2022-05-16;13.387
2022-05-15;13.387
2022-05-14;13.387
2022-05-13;13.8731
2022-05-12;14.6885
2022-05-11;14.3947
2022-05-10;14.3947
2022-05-09;14.3947
2022-05-08;14.3947
2022-05-07;14.3947
2022-05-06;14.1803
2022-05-05;14.764
2022-05-04;15.1844
2022-05-03;15.1844
2022-05-02;15.1844
2022-05-01;15.1844
2022-04-30;15.1844
2022-04-29;15.3803
2022-04-28;15.6384
2022-04-27;15.7157
2022-04-26;16.187
2022-04-25;16.2188
