updated;price
2022-11-19;56.8709
2022-11-18;57.5976
2022-11-17;57.8089
2022-11-16;58.172
2022-11-15;58.1322
2022-11-14;57.1235
2022-11-13;57.1235
2022-11-12;57.1235
2022-11-11;56.2222
2022-11-10;56.8534
2022-11-09;56.1476
2022-11-08;56.2661
2022-11-07;55.56
2022-11-06;55.56
2022-11-05;55.56
2022-11-04;55.56
2022-11-03;56.0761
2022-11-02;56.2214
2022-11-01;56.0621
2022-10-31;55.921
2022-10-30;55.921
2022-10-29;55.921
2022-10-28;56.4521
2022-10-27;56.2072
2022-10-26;55.0093
2022-10-25;54.4401
2022-10-24;54.3301
2022-10-23;54.3301
2022-10-22;54.3301
2022-10-21;54.902
2022-10-20;55.3573
2022-10-19;55.5329
2022-10-18;54.6617
2022-10-17;55.9536
2022-10-16;55.9536
2022-10-15;55.9536
2022-10-14;55.8699
2022-10-13;56.2117
2022-10-12;56.373
2022-10-11;55.25
2022-10-10;54.9256
2022-10-09;54.9256
2022-10-08;54.9256
2022-10-07;55.0385
2022-10-06;54.5694
2022-10-05;53.9048
2022-10-04;51.9229
2022-10-03;49.717
2022-10-02;49.717
2022-10-01;49.717
2022-09-30;50.5668
2022-09-29;51.1235
2022-09-28;51.7604
2022-09-27;51.3679
2022-09-26;52.1559
2022-09-25;52.1559
2022-09-24;52.1559
2022-09-23;54.0242
2022-09-22;55.4555
2022-09-21;55.8536
2022-09-20;55.6229
2022-09-19;55.8423
2022-09-18;55.8423
2022-09-17;55.8423
2022-09-16;55.675
2022-09-15;56.0043
2022-09-14;57.4211
2022-09-13;57.7528
2022-09-12;57.179
2022-09-11;57.179
2022-09-10;57.179
2022-09-09;56.7226
2022-09-08;56.618
2022-09-07;56.6773
2022-09-06;56.1844
2022-09-05;56.1787
2022-09-04;56.1787
2022-09-03;56.1787
2022-09-02;56.3352
2022-09-01;56.4635
2022-08-31;56.5914
2022-08-30;56.4357
2022-08-29;56.6877
2022-08-28;56.6877
2022-08-27;56.6877
2022-08-26;56.5762
2022-08-25;56.2738
2022-08-24;55.8838
