updated;price
2022-11-19;59.1277
2022-11-18;59.1427
2022-11-17;59.1025
2022-11-16;59.0642
2022-11-15;59.1461
2022-11-14;58.9672
2022-11-13;58.9672
2022-11-12;58.9672
2022-11-11;59.9714
2022-11-10;59.79
2022-11-09;59.7057
2022-11-08;59.9596
2022-11-07;60.7915
2022-11-06;60.7915
2022-11-05;60.7915
2022-11-04;60.7915
2022-11-03;60.3236
2022-11-02;60.1358
2022-11-01;60.3271
2022-10-31;60.2374
2022-10-30;60.2374
2022-10-29;60.2374
2022-10-28;60.0657
2022-10-27;60.133
2022-10-26;60.0388
2022-10-25;59.8703
2022-10-24;59.8996
2022-10-23;59.8996
2022-10-22;59.8996
2022-10-21;60.1991
2022-10-20;60.2806
2022-10-19;60.3868
2022-10-18;60.4427
2022-10-17;61.7045
2022-10-16;61.7045
2022-10-15;61.7045
2022-10-14;62.131
2022-10-13;62.3896
2022-10-12;62.3192
2022-10-11;60.9772
2022-10-10;59.9349
2022-10-09;59.9349
2022-10-08;59.9349
2022-10-07;58.9564
2022-10-06;58.1255
2022-10-05;57.5257
2022-10-04;56.3272
2022-10-03;54.1083
2022-10-02;54.1083
2022-10-01;54.1083
2022-09-30;56.1689
2022-09-29;57.1819
2022-09-28;56.8993
2022-09-27;56.6989
2022-09-26;56.7605
2022-09-25;56.7605
2022-09-24;56.7605
2022-09-23;58.4518
2022-09-22;59.4645
2022-09-21;58.6281
2022-09-20;58.775
2022-09-19;58.6303
2022-09-18;58.6303
2022-09-17;58.6303
2022-09-16;58.2679
2022-09-15;58.3644
2022-09-14;58.65
2022-09-13;59.0254
2022-09-12;59.0379
2022-09-11;59.0379
2022-09-10;59.0379
2022-09-09;59.3615
2022-09-08;59.7253
2022-09-07;59.3956
2022-09-06;59.4434
2022-09-05;58.9103
2022-09-04;58.9103
2022-09-03;58.9103
2022-09-02;58.7793
2022-09-01;58.774
2022-08-31;58.8999
2022-08-30;58.8913
2022-08-29;58.6267
2022-08-28;58.6267
2022-08-27;58.6267
2022-08-26;58.3121
2022-08-25;58.5283
2022-08-24;58.4297
2022-08-23;58.2694
2022-08-22;57.6645
2022-08-21;57.6645
2022-08-20;57.6645
2022-08-19;58.4462
2022-08-18;59.2225
2022-08-17;59.8734
2022-08-16;59.8375
2022-08-15;59.3618
2022-08-14;59.3618
2022-08-13;59.3618
2022-08-12;59.0941
2022-08-11;58.9239
2022-08-10;58.853
2022-08-09;58.7879
2022-08-08;58.834
2022-08-07;58.834
2022-08-06;58.834
2022-08-05;58.7167
2022-08-04;58.688
2022-08-03;58.6047
2022-08-02;60.4405
2022-08-01;59.7192
2022-07-31;59.7192
2022-07-30;59.7192
2022-07-29;58.6409
2022-07-28;58.6537
2022-07-27;57.1294
2022-07-26;56.2685
2022-07-25;55.8774
2022-07-24;55.8774
2022-07-23;55.8774
2022-07-22;54.9812
2022-07-21;52.9994
2022-07-20;53.4085
2022-07-19;54.3506
2022-07-18;55.4395
2022-07-17;55.4395
2022-07-16;55.4395
2022-07-15;55.5424
2022-07-14;55.7992
2022-07-13;55.9652
2022-07-12;58.2953
2022-07-11;57.9154
2022-07-10;57.9154
2022-07-09;57.9154
2022-07-08;59.6846
2022-07-07;60.1708
2022-07-06;55.9632
2022-07-05;52.3789
2022-07-04;50.8859
2022-07-03;50.8859
2022-07-02;50.8859
2022-07-01;49.7379
2022-06-30;48.4754
2022-06-29;50.1357
2022-06-28;50.5088
2022-06-27;50.4799
2022-06-26;50.4799
2022-06-25;50.4799
2022-06-24;50.4213
2022-06-23;50.2531
2022-06-22;51.5963
2022-06-21;52.0648
2022-06-20;52.0166
2022-06-19;52.0166
2022-06-18;52.0166
2022-06-17;51.6114
2022-06-16;51.3819
2022-06-15;51.211
2022-06-14;51.131
2022-06-13;51.131
2022-06-12;51.131
2022-06-11;51.131
2022-06-10;51.6721
2022-06-09;53.2993
2022-06-08;53.4706
2022-06-07;53.6047
2022-06-06;54.3561
2022-06-05;54.3561
2022-06-04;54.3561
2022-06-03;54.0132
2022-06-02;53.9239
2022-06-01;54.0411
2022-05-31;55.3487
2022-05-30;58.2482
2022-05-29;58.2482
2022-05-28;58.2482
2022-05-27;54.4294
2022-05-26;49.3856
2022-05-25;48.2788
2022-05-24;48.1064
2022-05-23;47.2982
2022-05-22;47.2982
2022-05-21;47.2982
2022-05-20;49.9425
2022-05-19;50.8718
2022-05-18;50.8546
2022-05-17;50.7759
2022-05-16;51.0443
2022-05-15;51.0443
2022-05-14;51.0443
2022-05-13;52.6543
2022-05-12;55.0932
2022-05-11;53.929
2022-05-10;53.929
2022-05-09;53.929
2022-05-08;53.929
2022-05-07;53.929
2022-05-06;53.0114
2022-05-05;55.555
2022-05-04;56.8417
2022-05-03;56.8417
2022-05-02;56.8417
2022-05-01;56.8417
2022-04-30;56.8417
2022-04-29;57.8594
2022-04-28;58.3244
2022-04-27;58.1322
2022-04-26;58.6537
2022-04-25;58.7687
2022-04-24;58.7687
2022-04-23;58.7687
2022-04-22;59.9632
2022-04-21;61.6277
2022-04-20;63.185
2022-04-19;63.5242
2022-04-18;64.0283
2022-04-17;64.0283
2022-04-16;64.0283
2022-04-15;64.9914
2022-04-14;63.9549
2022-04-13;63.7019
2022-04-12;63.3277
2022-04-11;59.8801
2022-04-10;59.8801
2022-04-09;59.8801
2022-04-08;61.0038
2022-04-07;66.077
2022-04-06;66.6816
2022-04-05;66.8746
2022-04-04;64.4007
2022-04-03;64.4007
2022-04-02;64.4007
2022-04-01;64.3593
2022-03-31;74.6031
2022-03-30;71.3205
2022-03-29;80.2849
2022-03-28;76.3517
2022-03-27;76.3517
2022-03-26;76.3517
2022-03-25;79.3537
2022-03-24;85.233
2022-03-23;89.1648
2022-03-22;89.6456
2022-03-21;89.0209
2022-03-20;89.0209
2022-03-19;89.0209
2022-03-18;91.432
2022-03-17;89.1262
2022-03-16;98.9107
2022-03-15;95.0614
2022-03-14;103.551
2022-03-13;103.551
2022-03-12;103.551
2022-03-11;106.719
2022-03-10;89.2959
2022-03-09;93.6393
2022-03-08;93.6393
2022-03-07;93.6393
2022-03-06;93.6393
2022-03-05;93.6393
2022-03-04;99.0309
2022-03-03;91.3705
2022-03-02;81.2988
2022-03-01;82.8688
2022-02-28;73.94
2022-02-27;73.94
2022-02-26;73.94
2022-02-25;77.0304
2022-02-24;71.2622
2022-02-23;71.2622
2022-02-22;68.0258
2022-02-21;67.135
2022-02-20;67.135
2022-02-19;67.135
2022-02-18;67.1269
2022-02-17;66.4724
2022-02-16;67.4931
2022-02-15;67.8566
2022-02-14;66.3893
2022-02-13;66.3893
2022-02-12;66.3893
2022-02-11;66.1568
2022-02-10;66.2253
2022-02-09;66.6704
2022-02-08;67.0036
2022-02-07;67.3613
2022-02-06;67.3613
2022-02-05;67.3613
2022-02-04;67.892
2022-02-03;67.7157
2022-02-02;68.287
2022-02-01;68.588
2022-01-31;68.8954
2022-01-30;68.8954
2022-01-29;68.8954
2022-01-28;69.8955
2022-01-27;69.8926
2022-01-26;69.6257
2022-01-25;68.4948
2022-01-24;67.8976
2022-01-23;67.8976
2022-01-22;67.8976
2022-01-21;67.6767
2022-01-20;68.0564
2022-01-19;67.5827
2022-01-18;67.3222
2022-01-17;67.0799
2022-01-16;67.0799
2022-01-15;67.0799
2022-01-14;66.0776
2022-01-13;65.9829
2022-01-12;66.2554
2022-01-11;66.5175
2022-01-10;65.8039
2022-01-09;65.8039
2022-01-08;65.8039
2022-01-07;65.8039
2022-01-06;65.8039
2022-01-05;65.8039
2022-01-04;65.8039
2022-01-03;65.8039
2022-01-02;65.8039
2022-01-01;65.8039
2021-12-31;65.8039
2021-12-30;65.236
2021-12-29;65.0982
2021-12-28;64.894
2021-12-27;64.826
2021-12-26;64.826
2021-12-25;64.826
2021-12-24;65.0051
2021-12-23;65.3878
2021-12-22;65.4148
2021-12-21;65.8058
2021-12-18;65.3372
2021-12-17;65.1646
2021-12-16;65.4128
2021-12-15;65.0751
2021-12-14;65.0228
2021-12-11;65.1957
2021-12-10;65.2191
2021-12-09;65.4077
2021-12-08;65.6686
2021-12-07;65.223
2021-12-04;65.3167
2021-12-03;65.6012
2021-12-02;65.5222
2021-12-01;66.3353
2021-11-30;66.3849
2021-11-27;66.9803
2021-11-26;66.1058
2021-11-25;65.9039
2021-11-24;66.2529
2021-11-23;65.0581
2021-11-20;64.4194
2021-11-17;64.2936
2021-11-16;64.0429
2021-11-13;63.6347
2021-11-12;63.0894
2021-11-11;62.6451
2021-11-10;63.2534
2021-11-09;63.3518
2021-11-04;63.4599
2021-11-03;63.6494
2021-11-02;63.3004
2021-10-30;62.7123
2021-10-29;62.7408
2021-10-28;62.0813
2021-10-27;61.7971
2021-10-26;62.2311
2021-10-23;62.863
2021-10-22;62.9348
2021-10-21;62.9506
2021-10-20;62.7503
2021-10-19;62.9306
2021-10-16;63.0138
2021-10-15;63.47
2021-10-14;63.5347
2021-10-13;63.5011
2021-10-12;63.3678
2021-10-09;63.5798
2021-10-08;63.8987
2021-10-07;64.0779
2021-10-06;64.0782
2021-10-05;64.392
2021-10-02;64.3614
2021-10-01;64.106
2021-09-30;64.1913
2021-09-29;63.9431
2021-09-28;64.1035
2021-09-25;64.4094
2021-09-24;64.1592
2021-09-23;64.297
2021-09-22;64.559
2021-09-21;64.6948
2021-09-18;63.9889
2021-09-17;63.902
2021-09-16;64.2717
2021-09-15;64.1527
2021-09-14;64.4765
2021-09-11;64.1906
2021-09-10;64.5161
2021-09-09;64.7923
2021-09-08;64.5707
2021-09-07;64.336
2021-09-04;64.2484
2021-09-03;64.2692
2021-09-02;64.571
2021-09-01;64.6476
2021-08-31;64.4824
2021-08-28;64.8436
2021-08-27;64.8473
2021-08-26;64.63
2021-08-25;64.8085
2021-08-24;64.9138
2021-08-21;65.1744
2021-08-20;64.9871
2021-08-19;64.385
2021-08-18;64.3955
2021-08-17;64.3507
2021-08-14;64.421
2021-08-13;64.5043
2021-08-12;65.3152
2021-08-11;64.5298
2021-08-10;64.4523
2021-08-07;64.1214
2021-08-06;64.1543
2021-08-05;63.8191
2021-08-04;63.8951
2021-08-03;64.0207
2021-07-31;64.1287
2021-07-30;64.174
2021-07-29;64.5408
2021-07-28;64.7498
2021-07-27;64.9698
2021-07-24;64.6789
2021-07-23;64.616
2021-07-22;65.3176
2021-07-21;65.3143
2021-07-20;65.1875
2021-07-17;65.029
2021-07-16;65.0765
2021-07-15;64.9922
2021-07-14;64.9355
2021-07-13;65.4394
2021-07-10;65.2937
2021-07-09;65.9318
2021-07-08;64.9347
2021-07-07;64.2402
2021-07-06;64.3174
2021-07-03;65.0044
2021-07-02;63.9269
2021-07-01;63.7645
2021-06-30;63.4566
2021-06-29;63.286
2021-06-26;63.2787
2021-06-25;63.416
2021-06-24;63.7151
2021-06-23;64.1527
2021-06-22;64.1812
2021-06-19;63.3245
2021-06-18;63.5728
2021-06-17;63.1585
2021-06-16;62.9827
2021-06-12;62.8494
2021-06-11;63.3033
2021-06-10;63.5932
2021-06-09;63.8541
2021-06-08;64.34
2021-06-05;64.2456
2021-06-04;64.2381
2021-06-03;64.4436
2021-06-02;64.2184
2021-06-01;64.6639
2021-05-29;64.5217
2021-05-28;64.4086
2021-05-27;64.4224
2021-05-26;64.3545
2021-05-25;64.4687
2021-05-22;64.5158
2021-05-21;64.5337
2021-05-20;64.6013
2021-05-19;64.6201
2021-05-18;64.7555
2021-05-15;64.881
2021-05-14;65.1965
2021-05-13;64.9189
2021-05-12;65.0212
2021-05-08;65.0042
2021-05-07;65.3897
2021-05-06;65.6394
2021-05-05;65.9857
2021-05-01;65.6248
2021-04-30;65.219
2021-04-29;65.7071
2021-04-28;65.7236
2021-04-27;65.5745
2021-04-24;65.8563
2021-04-23;67.0248
2021-04-22;67.374
2021-04-21;66.6686
2021-04-20;66.8734
2021-04-17;66.2634
2021-04-16;67.5152
2021-04-15;66.3766
2021-04-14;67.7543
2021-04-13;67.9797
2021-04-10;67.6773
2021-04-09;67.6207
2021-04-08;68.21
2021-04-07;66.9884
2021-04-06;67.1858
2021-04-03;66.7193
2021-04-02;66.486
2021-04-01;66.3369
2021-03-31;66.4055
2021-03-30;66.5164
2021-03-27;66.454
2021-03-26;66.8194
2021-03-25;66.8013
2021-03-24;66.1039
2021-03-23;65.4461
2021-03-20;65.0342
2021-03-19;64.6408
2021-03-18;64.1526
2021-03-17;64.0297
2021-03-16;64.2665
2021-03-13;64.5091
2021-03-12;64.5016
