updated;price
2022-11-19;17.2497
2022-11-18;17.2541
2022-11-17;17.2424
2022-11-16;17.2319
2022-11-15;17.2566
2022-11-14;17.2051
2022-11-13;17.2051
2022-11-12;17.2051
2022-11-11;17.4981
2022-11-10;17.446
2022-11-09;17.4221
2022-11-08;17.4962
2022-11-07;17.7416
2022-11-06;17.7416
2022-11-05;17.7416
2022-11-04;17.7416
2022-11-03;17.605
2022-11-02;17.5507
2022-11-01;17.6065
2022-10-31;17.5812
2022-10-30;17.5812
2022-10-29;17.5812
2022-10-28;17.5311
2022-10-27;17.5508
2022-10-26;17.5236
2022-10-25;17.4751
2022-10-24;17.4845
2022-10-23;17.4845
2022-10-22;17.4845
2022-10-21;17.5719
2022-10-20;17.5973
2022-10-19;17.6295
2022-10-18;17.6467
2022-10-17;18.0159
2022-10-16;18.0159
2022-10-15;18.0159
2022-10-14;18.1405
2022-10-13;18.216
2022-10-12;18.1954
2022-10-11;17.8036
2022-10-10;17.4993
2022-10-09;17.4993
2022-10-08;17.4993
2022-10-07;17.2153
2022-10-06;16.9727
2022-10-05;16.7975
2022-10-04;16.4475
2022-10-03;15.7996
2022-10-02;15.7996
2022-10-01;15.7996
2022-09-30;16.4037
2022-09-29;16.6996
2022-09-28;16.6216
2022-09-27;16.5711
2022-09-26;16.6002
2022-09-25;16.6002
2022-09-24;16.6002
2022-09-23;17.0948
2022-09-22;17.391
2022-09-21;17.1474
2022-09-20;17.1903
2022-09-19;17.1519
2022-09-18;17.1519
2022-09-17;17.1519
2022-09-16;17.0475
2022-09-15;17.0786
2022-09-14;17.1622
2022-09-13;17.2734
2022-09-12;17.277
2022-09-11;17.277
2022-09-10;17.277
2022-09-09;17.3717
2022-09-08;17.4804
2022-09-07;17.387
2022-09-06;17.4009
2022-09-05;17.2489
2022-09-04;17.2489
2022-09-03;17.2489
2022-09-02;17.2106
2022-09-01;17.211
2022-08-31;17.2479
2022-08-30;17.2467
2022-08-29;17.1693
2022-08-28;17.1693
2022-08-27;17.1693
2022-08-26;17.0771
2022-08-25;17.1421
2022-08-24;17.1132
2022-08-23;17.0691
2022-08-22;16.8949
2022-08-21;16.8949
2022-08-20;16.8949
2022-08-19;17.1306
2022-08-18;17.3586
2022-08-17;17.5499
2022-08-16;17.5356
2022-08-15;17.3998
2022-08-14;17.3998
2022-08-13;17.3998
2022-08-12;17.3208
2022-08-11;17.2726
2022-08-10;17.2518
2022-08-09;17.2333
2022-08-08;17.2485
2022-08-07;17.2485
2022-08-06;17.2485
2022-08-05;17.2166
2022-08-04;17.2107
2022-08-03;17.1884
2022-08-02;17.7287
2022-08-01;17.5172
2022-07-31;17.5172
2022-07-30;17.5172
2022-07-29;17.2009
2022-07-28;17.2057
2022-07-27;16.7601
2022-07-26;16.5092
2022-07-25;16.3976
2022-07-24;16.3976
2022-07-23;16.3976
2022-07-22;16.1367
2022-07-21;15.6712
2022-07-20;15.8391
2022-07-19;16.1605
2022-07-18;16.5235
2022-07-17;16.5235
2022-07-16;16.5235
2022-07-15;16.6448
2022-07-14;16.7235
2022-07-13;16.8155
2022-07-12;17.5156
2022-07-11;17.5047
2022-07-10;17.5047
2022-07-09;17.5047
2022-07-08;18.0408
2022-07-07;17.9746
2022-07-06;16.7177
2022-07-05;15.7388
2022-07-04;15.3622
2022-07-03;15.3622
2022-07-02;15.3622
2022-07-01;15.0035
2022-06-30;14.6166
2022-06-29;15.1343
