updated;price
2022-11-19;16.3495
2022-11-18;16.3747
2022-11-17;16.3826
2022-11-16;16.3306
2022-11-15;16.354
2022-11-14;16.304
2022-11-13;16.304
2022-11-12;16.304
2022-11-11;16.5827
2022-11-10;16.605
2022-11-09;16.5106
2022-11-08;16.5811
2022-11-07;16.8137
2022-11-06;16.8137
2022-11-05;16.8137
2022-11-04;16.8137
2022-11-03;16.6907
2022-11-02;16.6325
2022-11-01;16.685
2022-10-31;16.6874
2022-10-30;16.6874
2022-10-29;16.6874
2022-10-28;16.6229
2022-10-27;16.6545
2022-10-26;16.6091
2022-10-25;16.5612
2022-10-24;16.6272
2022-10-23;16.6272
2022-10-22;16.6272
2022-10-21;16.6548
2022-10-20;16.6766
2022-10-19;16.7072
2022-10-18;16.7235
2022-10-17;17.0734
2022-10-16;17.0734
2022-10-15;17.0734
2022-10-14;17.1915
2022-10-13;17.2555
2022-10-12;17.2438
2022-10-11;16.8723
2022-10-10;16.5826
2022-10-09;16.5826
2022-10-08;16.5826
2022-10-07;16.3145
2022-10-06;16.0875
2022-10-05;15.9471
2022-10-04;15.5862
2022-10-03;14.978
2022-10-02;14.978
2022-10-01;14.978
2022-09-30;15.5448
2022-09-29;15.9186
2022-09-28;15.7579
2022-09-27;15.7106
2022-09-26;15.8239
2022-09-25;15.8239
2022-09-24;15.8239
2022-09-23;16.2004
2022-09-22;16.4824
2022-09-21;16.2503
2022-09-20;16.2913
2022-09-19;16.3124
2022-09-18;16.3124
2022-09-17;16.3124
2022-09-16;16.1558
2022-09-15;16.185
2022-09-14;16.2644
2022-09-13;16.3688
2022-09-12;16.422
2022-09-11;16.422
2022-09-10;16.422
2022-09-09;16.4752
2022-09-08;16.5664
2022-09-07;16.4809
2022-09-06;16.4902
2022-09-05;16.3478
2022-09-04;16.3478
2022-09-03;16.3478
2022-09-02;16.3113
2022-09-01;16.3195
2022-08-31;16.3553
2022-08-30;16.424
2022-08-29;16.2997
2022-08-28;16.2997
2022-08-27;16.2997
2022-08-26;16.1981
2022-08-25;16.3404
2022-08-24;16.2186
2022-08-23;16.1768
2022-08-22;16.0997
2022-08-21;16.0997
2022-08-20;16.0997
2022-08-19;16.2927
2022-08-18;16.4659
2022-08-17;16.6604
2022-08-16;16.6783
2022-08-15;16.5197
2022-08-14;16.5197
2022-08-13;16.5197
2022-08-12;16.4162
2022-08-11;16.3692
2022-08-10;16.4405
2022-08-09;16.3314
2022-08-08;16.3465
2022-08-07;16.3465
2022-08-06;16.3465
2022-08-05;16.3559
2022-08-04;16.3102
2022-08-03;16.2957
2022-08-02;16.8015
2022-08-01;16.7551
2022-07-31;16.7551
2022-07-30;16.7551
2022-07-29;16.3219
2022-07-28;16.3232
2022-07-27;15.9231
2022-07-26;15.7921
2022-07-25;15.6162
2022-07-24;15.6162
2022-07-23;15.6162
2022-07-22;15.3531
2022-07-21;18.5627
2022-07-20;18.7617
2022-07-19;19.1419
2022-07-18;19.5789
2022-07-17;19.5789
2022-07-16;19.5789
2022-07-15;19.7724
2022-07-14;19.8089
2022-07-13;19.962
2022-07-12;20.7566
2022-07-11;20.7356
2022-07-10;20.7356
2022-07-09;20.7356
2022-07-08;21.3695
2022-07-07;21.2921
2022-07-06;19.8026
2022-07-05;18.7351
2022-07-04;18.2867
2022-07-03;18.2867
2022-07-02;18.2867
2022-07-01;17.7865
2022-06-30;17.3153
2022-06-29;17.8651
2022-06-28;17.998
2022-06-27;18.0589
2022-06-26;18.0589
2022-06-25;18.0589
2022-06-24;18.0641
2022-06-23;17.9938
2022-06-22;18.5147
2022-06-21;19.0239
2022-06-20;19.199
2022-06-19;19.199
2022-06-18;19.199
2022-06-17;19.2083
2022-06-16;19.2713
2022-06-15;19.4044
2022-06-14;19.5675
2022-06-13;19.5675
2022-06-12;19.5675
2022-06-11;19.5675
2022-06-10;19.8587
2022-06-09;20.4307
2022-06-08;20.6293
