updated;price
2022-11-19;5.38661
2022-11-18;5.39926
2022-11-17;5.40241
2022-11-16;5.38975
2022-11-15;5.38938
2022-11-14;5.37907
2022-11-13;5.37907
2022-11-12;5.37907
2022-11-11;5.48315
2022-11-10;5.47288
2022-11-09;5.45852
2022-11-08;5.50076
2022-11-07;5.59015
2022-11-06;5.59015
2022-11-05;5.59015
2022-11-04;5.59015
2022-11-03;5.53619
2022-11-02;5.49963
2022-11-01;5.51165
2022-10-31;5.50823
2022-10-30;5.50823
2022-10-29;5.50823
2022-10-28;5.50051
2022-10-27;5.51976
2022-10-26;5.51901
2022-10-25;5.49779
2022-10-24;5.49511
2022-10-23;5.49511
2022-10-22;5.49511
2022-10-21;5.51636
2022-10-20;5.52013
2022-10-19;5.53726
2022-10-18;5.54855
2022-10-17;5.67648
2022-10-16;5.67648
2022-10-15;5.67648
2022-10-14;5.72239
2022-10-13;5.75203
2022-10-12;5.75293
2022-10-11;5.6385
2022-10-10;5.53622
2022-10-09;5.53622
2022-10-08;5.53622
2022-10-07;5.4636
2022-10-06;5.39527
2022-10-05;5.35089
2022-10-04;5.23096
2022-10-03;5.02076
2022-10-02;5.02076
2022-10-01;5.02076
2022-09-30;5.21947
2022-09-29;5.30149
2022-09-28;5.26558
2022-09-27;5.25823
2022-09-26;5.27692
2022-09-25;5.27692
2022-09-24;5.27692
2022-09-23;5.44916
2022-09-22;5.55853
2022-09-21;5.46627
2022-09-20;5.48827
2022-09-19;5.4823
2022-09-18;5.4823
2022-09-17;5.4823
2022-09-16;5.46138
2022-09-15;5.46388
2022-09-14;5.48548
2022-09-13;5.5186
2022-09-12;5.50845
2022-09-11;5.50845
2022-09-10;5.50845
2022-09-09;5.52856
2022-09-08;5.57654
2022-09-07;5.54197
2022-09-06;5.55788
2022-09-05;5.52344
2022-09-04;5.52344
2022-09-03;5.52344
2022-09-02;5.51116
2022-09-01;5.5113
2022-08-31;5.53799
2022-08-30;5.52169
2022-08-29;5.50516
2022-08-28;5.50516
2022-08-27;5.50516
2022-08-26;5.48209
2022-08-25;5.51026
2022-08-24;5.49469
2022-08-23;5.47236
2022-08-22;5.40761
2022-08-21;5.40761
2022-08-20;5.40761
2022-08-19;5.47787
2022-08-18;5.5383
2022-08-17;5.61616
2022-08-16;5.62502
2022-08-15;5.57582
2022-08-14;5.57582
2022-08-13;5.57582
2022-08-12;5.55955
2022-08-11;5.5563
2022-08-10;5.55212
2022-08-09;5.54073
2022-08-08;5.52841
2022-08-07;5.52841
2022-08-06;5.52841
2022-08-05;5.50675
2022-08-04;5.49605
2022-08-03;5.4985
2022-08-02;5.68627
2022-08-01;5.6206
2022-07-31;5.6206
2022-07-30;5.6206
2022-07-29;5.50182
2022-07-28;5.49442
2022-07-27;5.34879
2022-07-26;5.29141
2022-07-25;5.26537
2022-07-24;5.26537
2022-07-23;5.26537
2022-07-22;5.1777
2022-07-21;5.02026
2022-07-20;5.06278
2022-07-19;5.15594
2022-07-18;5.28135
2022-07-17;5.28135
2022-07-16;5.28135
2022-07-15;5.32746
2022-07-14;5.35995
2022-07-13;5.39337
2022-07-12;5.61793
2022-07-11;5.61444
2022-07-10;5.61444
2022-07-09;5.61444
2022-07-08;5.79936
2022-07-07;5.79284
2022-07-06;5.39942
2022-07-05;5.07699
2022-07-04;4.94827
2022-07-03;4.94827
2022-07-02;4.94827
2022-07-01;4.83528
2022-06-30;4.73661
2022-06-29;4.89396
2022-06-28;4.92293
2022-06-27;4.9236
2022-06-26;4.9236
2022-06-25;4.9236
2022-06-24;4.91909
2022-06-23;4.88976
2022-06-22;5.00618
2022-06-21;5.12991
2022-06-20;5.16981
2022-06-19;5.16981
2022-06-18;5.16981
2022-06-17;5.18873
2022-06-16;5.16285
2022-06-15;5.19392
2022-06-14;5.24245
2022-06-13;5.24245
2022-06-12;5.24245
