updated;price
2022-11-19;79.1311
2022-11-18;79.432
2022-11-17;79.4167
2022-11-16;78.9286
2022-11-15;79.0673
2022-11-14;77.3806
2022-11-13;77.3806
2022-11-12;77.3806
2022-11-11;79.0175
2022-11-10;78.6497
2022-11-09;78.5115
2022-11-08;78.2819
2022-11-07;79.6903
2022-11-06;79.6903
2022-11-05;79.6903
2022-11-04;79.6903
2022-11-03;79.2222
2022-11-02;78.8293
2022-11-01;79.2113
2022-10-31;79.4032
2022-10-30;79.4032
2022-10-29;79.4032
2022-10-28;79.1898
2022-10-27;78.5015
2022-10-26;78.3334
2022-10-25;77.8439
2022-10-24;78.1397
2022-10-23;78.1397
2022-10-22;78.1397
2022-10-21;78.4886
2022-10-20;78.7595
2022-10-19;78.7691
2022-10-18;78.841
2022-10-17;80.4819
2022-10-16;80.4819
2022-10-15;80.4819
2022-10-14;81.0091
2022-10-13;81.3844
2022-10-12;81.676
2022-10-11;79.9172
2022-10-10;78.8408
2022-10-09;78.8408
2022-10-08;78.8408
2022-10-07;77.7275
2022-10-06;76.5181
2022-10-05;75.2928
2022-10-04;73.6781
2022-10-03;70.5545
2022-10-02;70.5545
2022-10-01;70.5545
2022-09-30;72.7342
2022-09-29;74.3395
2022-09-28;73.9988
2022-09-27;74.2358
2022-09-26;74.8405
2022-09-25;74.8405
2022-09-24;74.8405
2022-09-23;77.1866
2022-09-22;78.8265
2022-09-21;77.6676
2022-09-20;77.8653
2022-09-19;77.7355
2022-09-18;77.7355
2022-09-17;77.7355
2022-09-16;77.4117
2022-09-15;78.1129
2022-09-14;78.3744
2022-09-13;78.7365
2022-09-12;78.4454
2022-09-11;78.4454
2022-09-10;78.4454
2022-09-09;78.4868
2022-09-08;79.2501
2022-09-07;79.1217
2022-09-06;79.1853
2022-09-05;78.598
2022-09-04;78.598
2022-09-03;78.598
2022-09-02;78.3888
2022-09-01;78.5638
2022-08-31;78.5951
2022-08-30;78.8632
2022-08-29;78.4548
2022-08-28;78.4548
2022-08-27;78.4548
2022-08-26;77.833
2022-08-25;78.1322
2022-08-24;78.2365
2022-08-23;78.2075
2022-08-22;77.874
2022-08-21;77.874
2022-08-20;77.874
2022-08-19;79.0167
2022-08-18;79.9417
2022-08-17;81.1046
2022-08-16;81.2939
2022-08-15;80.8597
2022-08-14;80.8597
2022-08-13;80.8597
2022-08-12;80.0944
2022-08-11;79.8413
2022-08-10;79.6594
2022-08-09;79.7805
2022-08-08;79.7036
2022-08-07;79.7036
2022-08-06;79.7036
2022-08-05;79.602
2022-08-04;79.7603
2022-08-03;79.6963
2022-08-02;82.1302
2022-08-01;80.7405
2022-07-31;80.7405
2022-07-30;80.7405
2022-07-29;79.2742
2022-07-28;79.2318
2022-07-27;77.4231
2022-07-26;76.0066
2022-07-25;75.4862
2022-07-24;75.4862
2022-07-23;75.4862
2022-07-22;74.3497
2022-07-21;72.4047
2022-07-20;72.9152
2022-07-19;74.0567
2022-07-18;75.6163
2022-07-17;75.6163
2022-07-16;75.6163
2022-07-15;76.4318
2022-07-14;76.6614
2022-07-13;77.3867
2022-07-12;80.7386
2022-07-11;80.803
2022-07-10;80.803
2022-07-09;80.803
2022-07-08;83.2701
2022-07-07;83.252
2022-07-06;77.8143
2022-07-05;73.2581
2022-07-04;71.3915
2022-07-03;71.3915
2022-07-02;71.3915
2022-07-01;69.9926
2022-06-30;68.3635
2022-06-29;70.8488
2022-06-28;71.2939
2022-06-27;71.1014
2022-06-26;71.1014
2022-06-25;71.1014
2022-06-24;71.151
2022-06-23;71.172
2022-06-22;73.0484
2022-06-21;75.004
2022-06-20;75.3876
2022-06-19;75.3876
2022-06-18;75.3876
2022-06-17;75.7394
2022-06-16;75.3162
2022-06-15;76.0074
2022-06-14;77.7911
2022-06-13;77.7911
2022-06-12;77.7911
2022-06-11;77.7911
2022-06-10;78.5666
2022-06-09;80.9931
2022-06-08;82.2699
2022-06-07;82.5325
2022-06-06;83.5319
2022-06-05;83.5319
2022-06-04;83.5319
2022-06-03;83.0733
2022-06-02;82.9705
2022-06-01;83.1169
2022-05-31;85.128
2022-05-30;89.6506
2022-05-29;89.6506
2022-05-28;89.6506
2022-05-27;83.6402
2022-05-26;75.9994
2022-05-25;76.8899
2022-05-24;78.2575
2022-05-23;78.9322
2022-05-22;78.9322
2022-05-21;78.9322
2022-05-20;83.5409
2022-05-19;85.1151
2022-05-18;84.7038
2022-05-17;84.43
2022-05-16;85.0154
2022-05-15;85.0154
2022-05-14;85.0154
2022-05-13;88.095
2022-05-12;92.1712
2022-05-11;90.6379
2022-05-10;90.6379
2022-05-09;90.6379
2022-05-08;90.6379
2022-05-07;90.6379
2022-05-06;88.862
2022-05-05;93.0015
2022-05-04;95.1675
2022-05-03;95.1675
2022-05-02;95.1675
2022-05-01;95.1675
2022-04-30;95.1675
2022-04-29;97.5025
2022-04-28;98.6258
2022-04-27;98.402
2022-04-26;99.7777
2022-04-25;99.9734
2022-04-24;99.9734
2022-04-23;99.9734
2022-04-22;102.4839
2022-04-21;105.0975
2022-04-20;107.7533
2022-04-19;108.5644
2022-04-18;109.7855
2022-04-17;109.7855
2022-04-16;109.7855
2022-04-15;111.4922
2022-04-14;109.1518
2022-04-13;108.9996
2022-04-12;108.5444
2022-04-11;102.6352
2022-04-10;102.6352
2022-04-09;102.6352
2022-04-08;104.6291
2022-04-07;113.6631
2022-04-06;114.7732
2022-04-05;115.1053
2022-04-04;115.163
2022-04-03;115.163
2022-04-02;115.163
2022-04-01;115.3056
2022-03-31;116.3141
2022-03-30;118.9006
2022-03-29;128.9268
2022-03-28;131.8373
2022-03-27;131.8373
2022-03-26;131.8373
2022-03-25;132.4039
2022-03-24;142.2137
2022-03-23;143.5879
2022-03-22;144.6578
2022-03-21;143.5811
2022-03-20;143.5811
2022-03-19;143.5811
2022-03-18;144.9663
2022-03-17;149.0395
2022-03-16;153.6237
2022-03-15;159.3464
2022-03-14;161.812
2022-03-13;161.812
2022-03-12;161.812
2022-03-11;166.5232
2022-03-10;160.2468
2022-03-09;146.566
2022-03-08;146.566
2022-03-07;146.566
2022-03-06;146.566
2022-03-05;147.0612
2022-03-04;155.404
2022-03-03;144.0051
2022-03-02;127.9724
2022-03-01;130.4436
2022-02-28;116.4816
2022-02-27;116.4816
2022-02-26;116.4816
2022-02-25;121.9107
2022-02-24;112.8485
2022-02-23;112.8485
2022-02-22;107.7234
2022-02-21;106.3038
2022-02-20;106.3038
2022-02-19;106.3038
2022-02-18;106.2629
2022-02-17;105.0828
2022-02-16;106.5768
2022-02-15;107.3805
2022-02-14;105.2753
2022-02-13;105.2753
2022-02-12;105.2753
2022-02-11;104.9134
2022-02-10;104.9951
2022-02-09;105.7745
2022-02-08;106.4538
2022-02-07;106.4089
2022-02-06;106.4089
2022-02-05;106.4089
