updated;price
2022-11-19;34.7197
2022-11-18;35.0146
2022-11-17;34.8992
2022-11-16;34.9937
2022-11-15;34.9824
2022-11-14;34.8487
2022-11-13;34.8487
2022-11-12;34.8487
2022-11-11;34.4536
2022-11-10;34.5626
2022-11-09;34.3107
2022-11-08;34.2508
2022-11-07;33.8084
2022-11-06;33.8084
2022-11-05;33.8084
2022-11-04;33.8084
2022-11-03;33.9981
2022-11-02;33.8155
2022-11-01;33.6599
2022-10-31;33.9933
2022-10-30;33.9933
2022-10-29;33.9933
2022-10-28;34.1059
2022-10-27;34.0695
2022-10-26;33.2323
2022-10-25;33.3784
2022-10-24;33.3278
2022-10-23;33.3278
2022-10-22;33.3278
2022-10-21;33.5375
2022-10-20;33.9017
2022-10-19;34.2472
2022-10-18;33.9488
2022-10-17;34.7017
2022-10-16;34.7017
2022-10-15;34.7017
2022-10-14;34.5789
2022-10-13;35.0743
2022-10-12;35.1834
2022-10-11;34.175
2022-10-10;34.0705
2022-10-09;34.0705
2022-10-08;34.0705
2022-10-07;33.7866
2022-10-06;33.4968
2022-10-05;33.1396
2022-10-04;31.9733
2022-10-03;30.904
2022-10-02;30.904
2022-10-01;30.904
2022-09-30;31.8561
2022-09-29;32.186
2022-09-28;32.4019
2022-09-27;32.102
2022-09-26;32.6858
2022-09-25;32.6858
2022-09-24;32.6858
2022-09-23;33.8856
2022-09-22;34.3453
2022-09-21;33.9627
2022-09-20;33.9079
2022-09-19;34.0026
2022-09-18;34.0026
2022-09-17;34.0026
2022-09-16;34.1424
2022-09-15;34.3861
2022-09-14;35.2431
2022-09-13;35.3427
2022-09-12;34.9859
2022-09-11;34.9859
2022-09-10;34.9859
2022-09-09;35.0588
2022-09-08;35.2275
2022-09-07;35.5257
2022-09-06;35.1522
2022-09-05;34.8687
2022-09-04;34.8687
2022-09-03;34.8687
2022-09-02;35.1517
2022-09-01;35.3824
2022-08-31;35.9655
2022-08-30;35.6464
2022-08-29;35.7074
2022-08-28;35.7074
2022-08-27;35.7074
2022-08-26;35.457
2022-08-25;35.2116
2022-08-24;35.1607
2022-08-23;35.0148
2022-08-22;35.0064
2022-08-21;35.0064
2022-08-20;35.0064
2022-08-19;35.8549
2022-08-18;36.8956
2022-08-17;37.2908
2022-08-16;37.5985
2022-08-15;37.6624
2022-08-14;37.6624
2022-08-13;37.6624
2022-08-12;37.302
2022-08-11;36.4991
2022-08-10;36.1444
2022-08-09;36.1055
2022-08-08;36.4153
2022-08-07;36.4153
2022-08-06;36.4153
2022-08-05;35.9125
2022-08-04;36.0891
2022-08-03;36.5063
2022-08-02;37.6361
2022-08-01;37.1381
2022-07-31;37.1381
2022-07-30;37.1381
2022-07-29;36.058
2022-07-28;35.7364
2022-07-27;35.1004
2022-07-26;34.3698
2022-07-25;33.7281
2022-07-24;33.7281
2022-07-23;33.7281
2022-07-22;32.7756
2022-07-21;32.0036
2022-07-20;32.5589
2022-07-19;33.3105
2022-07-18;33.5528
2022-07-17;33.5528
2022-07-16;33.5528
2022-07-15;34.1935
2022-07-14;34.407
2022-07-13;34.3555
2022-07-12;36.1203
2022-07-11;36.3774
2022-07-10;36.3774
2022-07-09;36.3774
2022-07-08;37.6033
2022-07-07;37.6828
2022-07-06;35.6538
2022-07-05;33.6869
2022-07-04;32.889
2022-07-03;32.889
2022-07-02;32.889
2022-07-01;32.3131
2022-06-30;31.7086
2022-06-29;33.3646
2022-06-28;33.722
2022-06-27;33.4664
2022-06-26;33.4664
2022-06-25;33.4664
2022-06-24;33.3359
2022-06-23;33.2901
2022-06-22;34.3646
2022-06-21;35.0267
2022-06-20;35.6228
2022-06-19;35.6228
2022-06-18;35.6228
2022-06-17;35.5403
2022-06-16;35.4111
2022-06-15;35.4789
2022-06-14;37.3233
2022-06-13;37.3233
2022-06-12;37.3233
2022-06-11;37.3233
2022-06-10;38.4066
2022-06-09;39.2427
2022-06-08;39.5336
